LOINC_NUMBER,COMPONENT,CODE_SYSTEM,CODE_VALUE,AnswerListId,AnswerListName,ANSWER_CODE,SEQUENCE_NO,ANSWER_STRING
21834-7,"Coding system",NAACCR_ID,140,LL95-1,"CR_140_Census tract coding",3,4,"1990 Census Tract Definitions"
21834-7,"Coding system",NAACCR_ID,140,LL95-1,"CR_140_Census tract coding",4,5,"2000 Census Tract Definitions"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",1,1,"Value coding: 1=white, 2=black, 3=other, 9=unk"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",2,2,"SEER < 1988"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",3,3,"1988+ SEER & COC"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",4,4,"1991+ SEER & COC"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",5,5,"1994+ SEER & COC"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",6,6,"2000+ SEER & COC"
21835-4,"Coding system.current",NAACCR_ID,170,LL127-2,"CR_170_Race coding system",9,7,Other
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",1,1,"Value coding: 1=white, 2=black, 3=other, 9=unk"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",2,2,"SEER < 1988"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",3,3,"1988+ SEER & COC"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",4,4,"1991+ SEER & COC"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",5,5,"1994+ SEER & COC"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",6,6,"2000+ SEER & COC"
21836-2,"Coding system.original",NAACCR_ID,180,LL127-2,"CR_170_Race coding system",9,7,Other
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",0,1,"Non Spanish, Non-Hispanic"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",1,2,Mexican
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",2,3,"Puerto Rican"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",3,4,Cuban
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",4,5,"South or Central American"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",5,6,"Other Specified Spanish"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",6,7,"Spanish,NOS; Hispanic,NOS"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",7,8,"Spanish Surname only"
21837-0,"Hispanic origin",NAACCR_ID,190,LL146-2,"CR_190_Hispanic origin",9,9,Unknown
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,01,1,White
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,02,2,Black
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,03,3,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,04,4,Chinese
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,05,5,Japanese
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,06,6,Filipino
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,07,7,Hawaiian
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,08,8,Korean
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,09,9,"Asian Indian, Pakistani"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,10,10,Vietnamese
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,11,11,Laotian
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,12,12,Hmong
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,13,13,Kampuchean
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,14,14,Thai
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,20,15,"Micronesian, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,21,16,Chamorran
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,22,17,"Guamanian, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,25,18,"Polynesian, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,26,19,Tahitian
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,27,20,Samoan
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,28,21,Tongan
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,30,22,"Melanesian, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,31,23,"Fiji Islander"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,32,24,"New Guinean"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,96,25,"Other Asian, including Asian , NOS and Oriental, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,97,26,"Pacific islander, NOS"
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,98,27,Other
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,99,28,Unknown
53720-9,Race,NAACCR_ID,193,LL613-1,CR_193,"",29,"Algorithm was not run"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",0,1,"No match run, 1994+ cases"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",1,2,"Non-Hispan last & maiden"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",2,3,"Non-Hisp last-no maid chk"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",3,4,"Non-Hisp last-no maid nam"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",Blank,5,"1993 & earlier cases"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",4,6,"Hisp-last,non-hisp maiden"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",5,7,"Hisp-last, no check maid"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",6,8,"Hisp-last, missing maiden"
21838-8,Ethnicity,NAACCR_ID,200,LL162-9,"CR_200_Computed ethnicity",7,9,"Hispanic maiden name"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",0,1,"No match run, 1994+"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",1,2,"Census Spanish List"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",2,3,"1980 Census List"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",3,4,"1990 Census List"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",4,5,"GUESS Program"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",5,6,"Combo List w/S. Florida"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",6,7,"Census + local"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",7,8,"Census + GUESS + ?"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",8,9,"Other Type of Match"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",9,10,"Unknown Type of Match"
21839-6,"Derivation method",NAACCR_ID,210,LL175-1,"CR_210_Computed ethnicity source",Blank,11,"No match-1993 and earlier"
21840-4,Sex,NAACCR_ID,220,LL183-5,CR_220_Sex-gender,1,1,Male
21840-4,Sex,NAACCR_ID,220,LL183-5,CR_220_Sex-gender,2,2,Female
21840-4,Sex,NAACCR_ID,220,LL183-5,CR_220_Sex-gender,3,3,"Other (hermaphrodite)"
21840-4,Sex,NAACCR_ID,220,LL183-5,CR_220_Sex-gender,4,4,Transsexual
21840-4,Sex,NAACCR_ID,220,LL183-5,CR_220_Sex-gender,9,5,Unknown
21841-2,"Age at cancer Dx",NAACCR_ID,230,LL184-3,CR_230,999,1,"Unknown age"
59514-0,"Flag for Date of birth not populated",NAACCR_ID,241,LL923-4,NAACCR_241,12,1,"A proper value is applicable but not known (i.e., birth date is unknown)"
59514-0,"Flag for Date of birth not populated",NAACCR_ID,241,LL923-4,NAACCR_241,"",2,"A valid date value is provided in item Date of Birth [240], or the date was not expected to have been transmitted"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,000,1,"United States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,001,2,"New England and New Jersey"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,002,3,Maine
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,003,4,"New Hampshire"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,004,5,Vermont
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,005,6,Massachusetts
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,006,7,"Rhode Island"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,007,8,Connecticut
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,008,9,"New Jersey"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,010,11,"North Mid-Atlantic States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,011,12,"New York"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,014,13,Pennsylvania
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,017,14,Delaware
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,020,20,"South Mid-Atlantic States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,021,21,Maryland
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,022,22,"District of Columbia"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,023,25,Virginia
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,024,26,"West Virginia"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,025,27,"North Carolina"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,026,28,"South Carolina"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,030,30,"Southeastern States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,031,31,Tennessee
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,033,32,Georgia
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,035,33,Florida
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,037,34,Alabama
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,039,35,Mississippi
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,040,36,"North Central States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,041,37,Michigan
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,043,38,Ohio
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,045,39,Indiana
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,047,40,Kentucky
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,050,41,"Northern Midwest States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,051,42,Wisconsin
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,052,43,Minnesota
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,053,44,Iowa
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,054,45,"North Dakota"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,055,46,"South Dakota"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,056,47,Montana
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,060,48,"Central Midwest States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,061,49,Illinois
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,063,50,Missouri
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,065,51,Kansas
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,067,52,Nebraska
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,070,53,"Southern Midwest States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,071,54,Arkansas
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,073,55,Louisiana
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,075,56,Oklahoma
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,077,57,Texas
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,080,58,"Mountain States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,081,59,Idaho
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,082,60,Wyoming
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,083,61,Colorado
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,084,62,Utah
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,085,63,Nevada
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,086,64,"New Mexico"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,087,65,Arizona
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,090,66,"Pacific Coast States"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,091,67,Alaska
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,093,68,Washington
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,095,69,Oregon
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,097,70,California
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,099,71,Hawaii
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,100,72,"Atlantic/Caribbean Area"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,101,73,"Puerto Rico"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,102,74,"US Virgin Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,109,75,"Other Atlantic/Caribbean Area"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,110,76,"Canal Zone"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,120,77,"Pacific Area"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,121,78,"American Samoa"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,122,79,"Kiribati (Canton, Enderbury, Gilbert, S Lines, Phoenix)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,123,80,"Micronesia (Fed States of) (Caroline, Trust Terr of Pacific)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,124,81,"Cook Islands (New Zealand)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,125,82,"Tuvalu (Ellice Islands)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,126,83,Guam
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,127,84,"Johnston Atoll"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,129,85,"Mariana Islands (Trust Territory of Pacific Islands)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,131,86,"Marshall Islands (Trust Territory Pacific Islands)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,132,87,"Midway Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,133,88,"Nampo-Shoto, Southern"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,134,89,"Ryukyu Islands (Japan)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,135,90,"Swan Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,136,91,"Tokelau Islands (New Zealand)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,137,92,"Wake Island"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,139,93,"Palau (Trust Territory of Pacific Islands)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,210,94,Greenland
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,220,95,Canada
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,221,96,"Maritime Provinces (New Brunsw, Newfound, Nova Scotia, PE)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,222,97,Quebec
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,223,98,Ontario
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,224,99,"Prairie Provinces (Alberta Manitoba, Saskatchewan)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,225,100,"Northwest Territories, Yukon Territory"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,226,101,"British Columbia"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,230,102,Mexico
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,240,103,"North American Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,241,104,Cuba
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,242,105,Haiti
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,243,106,"Dominican Republic"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,244,107,Jamaica
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,245,108,"Other Caribbean Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,246,109,Bermuda
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,247,110,Bahamas
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,249,111,"St Pierre and Miquelon"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,250,112,"Central America"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,251,113,Guatemala
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,252,114,"Belize (British Honduras)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,253,115,Honduras
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,254,116,"El Salvador"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,255,117,Nicaragua
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,256,118,"Costa Rica"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,257,119,Panama
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,260,120,"North America, NOS"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,265,121,"Latin America, NOS"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,300,122,"South America"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,311,123,Colombia
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,321,124,Venezuela
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,331,125,"Guyana (British Guiana)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,332,126,"Suriname (Dutch Guiana)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,333,127,"French Guiana"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,341,128,Brazil
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,345,129,Ecuador
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,351,130,Peru
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,355,131,Bolivia
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,361,132,Chile
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,365,133,Argentina
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,371,134,Paraguay
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,375,135,Uruguay
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,380,136,"South American Island"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,381,137,"Falkland Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,400,138,"United Kingdom"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,401,139,"England, Channel Islands, Isle of Man"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,402,140,Wales
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,403,141,Scotland
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,404,142,"Northern Ireland (Ulster)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,410,143,"Ireland (Eire) (Ireland NOS, Republic of Ireland)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,420,144,Scandinavia
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,421,145,Iceland
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,423,146,"Norway (Svalbard, Jan Mayen)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,425,147,"Denmark, Faroe Islands"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,427,148,Sweden
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,429,149,Finland
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,430,150,"Germanic Countries"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,431,151,"Germany (East and West)"
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,432,152,Netherlands
21842-0,Birthplace,NAACCR_ID,250,LL197-5,CR_250_Birthplace,433,153,Belgium
