CODE_SYSTEM,CODE_VALUE,LOINC_NUM,COMPONENT,DisplayName,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,AnswerListId,ANSWER_LIST_TYPE,EXAMPLE_UNITS,UnitsAndRange,LONG_COMMON_NAME,DefinitionDescription
NAACCR_ID,192,42025-7,"NAACCR Indian Health Service linkage","",Prid,Pt,^Patient,Nom,"","","","","","NAACCR Indian Health Service linkage","This variable captures the results of the linkage of the registry database with the Indian Health Service patient registration database.

The IHS linkage identifies cancer cases among American Indians who were misclassified as non-Indian in the registry database in order to improve the quality of cancer surveillance data on American Indians in both the individual registries and in all registries as a whole. The goal is to include cancer incidence data for American Indians in the United States Cancer Statistics by use of this variable as well as the race variable.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,193,53720-9,Race,"",Type,Pt,^Patient,Nom,NAPIIA,LL613-1,NORMATIVE,"","","Race NAPIIA","NAPIIA stands for NAACCR Asian and Pacific Islander Identification Algorithm. Race--NAPIIA recodes some single-race cases with a Race 1 [160] code of 96 to a more specific Asian race category, based on an algorithm that makes use of the birthplace and name fields (first, last, and maiden names). For single-race cases with Race 1 other than 96, it returns Race 1. Multiple-race cases (those with information in Race 2 through Race 5, [161-164]) are handled variously; refer to the technical documentation for specifics: www.naaccr.org/filesystem/pdf/NAPIIA_v1_ 07242007.pdf.

In Version 1 of the algorithm, birth place can be used to indirectly assign a specific race to one of eight Asian race groups (Chinese, Japanese, Vietnamese, Korean, Asian Indian, Filipino, Thai, and Cambodian), and names can be used to indirectly assign a specific race to one of seven Asian groups (Chinese, Japanese, Vietnamese, Korean, Asian Indian, Filipino, and Hmong). Subsequent versions of NAPIIA may incorporate Pacific Islanders and may potentially incorporate name lists for Thai, Cambodian, and Laotians.

Rationale
The use of more specific Asian and Pacific Islander codes will enhance surveillance and research activities focused on specific API subgroups.
"
NAACCR_ID,200,21838-8,Ethnicity,"",Type,Pt,^Patient,Nom,Computed,LL162-9,NORMATIVE,"","","Ethnicity Computed","Code identifying those cases for which ethnicity was determined by matching Name--Last [2230] and Name--Maiden [2390] to a computer list of Spanish/Hispanic names or by a software algorithm. This field was adopted for use for tumors diagnosed 1994 forward.

See also Computed Ethnicity Source [210].

One method of identifying persons of Hispanic origin is to apply a standard computer list or algorithm to items 2230 and 2390, the patient's surname and/or maiden name. This has advantages across large populations of being reproducible and facilitating comparisons between areas using identical methods. It may sometimes be possible to identify population denominators in which the same method was used to identify Hispanics. Generally, only central registries will have this capability.

This field provides coding to indicate both that such a computerized name-based method was applied and the results of the method. Coding is independent of that in Spanish/Hispanic Origin [190]. The computer-derived ethnicity may be different from the ethnicity reported by registries in Spanish/Hispanic Origin [190] as code 7 (Spanish Surname Only), because that field may include manual review. This field shows the results of computer-derived ethnicity only... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,210,21839-6,"Derivation method","",Type,Pt,"Ethnicity computation",Nom,*,LL175-1,NORMATIVE,"","","Derivation method Computed Ethnicity","Code identifying the method used to determine ethnicity as recorded in Computed Ethnicity [200]... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,220,21840-4,Sex,"",Type,Pt,^Patient,Nom,"NAACCR v.11",LL183-5,NORMATIVE,"","","Sex [NAACCR v.11]","Code for the sex of the patient, created for the North American Association of Central Cancer Registries (NAACCR) Data Standards and Data Dictionary Version 11."
NAACCR_ID,230,21841-2,"Age at cancer Dx","",Num,Pt,Cancer.XXX,Qn,"",LL184-3,NORMATIVE,years,"","Age at cancer diagnosis","Age of the patient at diagnosis in complete years. Different tumors for the same patient may have different values... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,241,59514-0,"Flag for Date of birth not populated","",Prid,Pt,Cancer.XXX,Nom,"",LL923-4,NORMATIVE,"","","Flag for Date of birth not populated","This flag explains why there is no appropriate value in the corresponding date field, Date of Birth [240]. This data item was added to Volume II Version 12 (effective January 2010)... NAACCR Data Standards and Data Dictionary Version 12"
NAACCR_ID,250,21842-0,Birthplace,"",ID,Pt,^Patient,Nom,"",LL197-5,NORMATIVE,"","",Birthplace,"Code for place of birth of the patient. If a patient has multiple tumors, all records should contain the same code.

Place of Birth is helpful for patient matching and can be used when reviewing race and ethnicity. In addition, adding birthplace data to race and ethnicity allows for a more specific definition of the population being reported. Careful descriptions of ancestry, birthplace, and immigration history of populations studied are needed to make the basis for classification into ethnic groups clear. Birthplace has been associated with variation in genetic, socioeconomic, cultural, and nutritional characteristics that affect patterns of disease. A better understanding of the differences within racial and ethnic categories also can help states develop effective, culturally sensitive public health prevention programs to decrease the prevalence of high-risk behaviors and increase the use of preventive services.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,270,21843-8,"Usual occupation","",Hx,Pt,^Patient,Nom,"",LL3926-4,PREFERRED,"","","History of Usual occupation","The occupation a person has held for the longest time during his or her life, regardless of the occupation currently held."
NAACCR_ID,280,21844-6,"Usual industry","",Hx,Pt,^Patient,Nom,"",LL3925-6,EXAMPLE,"","","History of Usual industry",""
NAACCR_ID,290,21845-3,"Information source","",Type,Pt,"Usual occupation Hx",Nom,*,LL200-7,NORMATIVE,"","","Source of information Usual occupational Hx","Code that best describes the source of occupation information provided on this patient. This is a central cancer registry data item (i.e., codes should be applied by a central or regional registry rather than collected from reporting facilities).

Occupation information may come from a variety of sources. The most valid and reliable source of occupation information for patients has not yet been determined... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,300,21846-1,"Information source","",Type,Pt,"Usual industry Hx",Nom,*,LL202-3,NORMATIVE,"","","Source of information Usual industry Hx","Code that best describes the source of industry information provided on this patient. This is a central cancer registry data item (i.e., codes should be applied by a central or regional registry rather than collected from reporting facilities).

Industry information may come from a variety of sources. The most valid and reliable source of industry information for patients has not yet been determined... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,310,21847-9,"Usual occupation","",Find,Pt,^Patient,Nar,"","","","","","Usual occupation Narrative","The occupation a person has held for the longest time during his or her life, regardless of the occupation currently held. Usual occupation is important in the healthcare setting because it provides an opportunity to discover long-term exposure to health hazards. This information may assist in diagnosis of chronic condition(s) and, in some cases, their treatment and prevention."
NAACCR_ID,320,21848-7,"Usual industry","",Find,Pt,^Patient,Nar,"","","","","","Usual industry Narrative","The industry a person has worked in for the longest time during his or her life. In a healthcare setting this information may be used to assist in diagnosis of chronic condition(s) associated with hazards known to be encountered within the industry and, in some cases, assist in their treatment and prevention of illness/injury."
NAACCR_ID,330,21849-5,"Coding system","",Type,Pt,"Occupation & Industry Hx",Nom,"",LL203-1,NORMATIVE,"","","Coding system Occupational and Industry Hx","Code that identifies coding system used for occupation and industry. This is a central cancer registry data item (i .e., codes should be applied by a central or regional registry rather than collected from reporting facilities)... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,360,21850-3,Cancer,"",Hx,Pt,"^Family member",Nar,"",LL208-0,NORMATIVE,"","","Family history of Cancer Narrative","NAACCR has not adopted standards for this item... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,362,21851-1,"Address at cancer XXX Dx","",Xad,Pt,^Patient,Nom,"","","","","","Address at cancer diagnosis","NAACCR has not adopted standards for this item... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,364,21852-9,"Census tract certainty 1970&80&90","",Type,Pt,"Census tract",Nom,*,LL209-8,NORMATIVE,"","","Census tract certainty 1970and80and90","Code indicating basis of assignment of census tract or block numbering area (BNA) for an individual record. Helpful in identifying cases tracted from incomplete information or P.O. Box. Most of the time, this information is provided by a geocoding vendor service. Alternatively, a central registry staff manually assigns the code. This item is not coded by the hospital. Codes are hierarchical, with lower numbers having priority.

Note: Codes 1-5 and 9 are usually assigned by a geocoding vendor, while code 6 is usually assigned through a special effort by the central registry... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,365,42026-5,"Census tract certainty 2000","",Type,Pt,"Census tract",Nom,"","","","","","Census tract certainty 2000","Code indicating basis of assignment of census tract for an individual record. Helpful in identifying cases tracted from incomplete information or P.O. Box. Most of the time, this information is provided by a geocoding vendor service. Alternatively, a central registry staff manually assigns the code. This item is not coded by the hospital. Codes are hierarchical, with lower numbers having priority.

Note: Codes 1-5 and 9 are usually assigned by a geocoding vendor, while code 6 is usually assigned through a special effort by the central registry... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,366,42027-3,"Geographic information system coordinate quality","",Type,Pt,Cancer.XXX,Nom,"","","","","","Geographic information system coordinate quality Cancer","Code indicating the basis of assignment of latitude and longitude coordinates for an individual record from an address. This data item is helpful in identifying cases that were assigned coordinates based on incomplete information, post office boxes, or rural routes. Most of the time, this information is provided by a geocoding vendor service. Alternatively, a central registry staff manually assigns the code. This item is not coded by the hospital. Codes are hierarchical, with lower numbers having priority.

Spatial analysis of cancer data often requires identifying data records with a high degree of locational precision. Researchers can use this code as a basis for selecting records with a degree of precision that is appropriate to the study.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,380,21853-7,"Sequence number central.patient","",Arb,Pt,Cancer.XXX,Ord,"",LL210-6,NORMATIVE,"","","Sequence number central.patient Cancer","Code indicates the sequence of all reportable neoplasms over the lifetime of the person. This data item differs from Sequence Number--Hospital [560], because the definitions of reportable neoplasms often vary between a hospital and a central registry. Each neoplasm is assigned a different number. Sequence Number 00 indicates that the person has had only one in situ or one malignant neoplasm as defined by the Federal reportable list (regardless of central registry reference date). Sequence Number 01 indicates the first of two or more reportable neoplasms, while 02 indicates the second of two or more reportable neoplasms, and so on. Because the time period of Sequence Number is a person's lifetime, reportable neoplasms not included in the central registry (those that occur outside the registry catchment area or before the reference date) also are allotted a sequence number. For example, a registry may contain a single record for a patient with a sequence number of 02 because the first reportable neoplasm preceded the central registry's reference date. Reporting Requirements: Federally Required and State/Province Defined The Federal or SEER/NPCR standard defining which neoplasms are reportable is described in Chapter III, Standards For Tumor Inclusion and Reportability. It is assumed that this shared standard is the ""minimum"" definition of reportability. Individual central cancer registries may define additional neoplasms as reportable. Numeric codes in the 00-35 range indicate the sequence of neoplasms of in situ or malignant behavior (2 or 3) at the time of diagnosis, which SEER/NPCR standards require to be reported. Codes 60 to 87 indicate the sequence of non-malignant tumors (as defined in Chapter III) and any other neoplasms that the central registry has defined as reportable. Neoplasms required by SEER/NPCR with an in situ or malignant behavior at the time of diagnosis are sequenced completely independently of this higher-numbered category. Sequence Number-Hospital does not affect Sequence Number-Central. The two notational systems are independent but central registries should take Sequence Number-Hospital [560] into account when coding Sequence Number Central. Timing Rule The sequence number may change over the lifetime of the patient. If an individual previously diagnosed with a single reportable malignant neoplasm is subsequently diagnosed with a second reportable malignant neoplasm, the sequence code for the first neoplasm changes from 00 to 01. A central registry might also discover that an individual with one or more known neoplasms had an earlier reportable neoplasm that had been unknown to the registry. Typically, a re-evaluation of all related sequence numbers is required whenever an additional neoplasm is identified. If two or more reportable neoplasms are diagnosed at the same time, the lowest sequence number is to be assigned to the diagnosis with the worst prognosis. If no difference in prognosis is evident, the decision is arbitrary. Timing rules for sequencing neoplasms coded in the 60-87 range are the same as timing rules for sequencing of required in situ or malignant neoplasms. If a registry collects any central registry-defined neoplasms, the codes 60-87 should be used. The codes 60-87 also should be used for non-malignant tumor diagnosed on or after January 1, 2004. Timing rules for sequencing these neoplasms are the same as timing rules for sequencing of required in situ or invasive neoplasms.

The purpose of sequencing based on the patient's lifetime is to truly identify the 00s, the people who only had one malignant primary in their lifetimes for survival analysis. If a central registry sequences by just what is reported to them, then it will be unclear whether 00 means the person only had one malignant primary in his lifetime or the person had one malignant primary since the central registry started collecting data. The Federally required reportable list has changed throughout the years, so the registry must use the appropriate reportable list for the year of diagnosis. The central registry reference date will not affect Sequence Number-Central... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,390,21854-5,"Date first Dx","",Date,Pt,Cancer.XXX,Qn,"","","",MMDDYY,"","Date first Dx Cancer","Date of initial diagnosis by a recognized medical practitioner for the tumor being reported whether clinically or microscopically confirmed. See page 81 for date format. 

For more discussion on determining date of diagnosis, consult the SEER Program Manual or COC FORDS Manual... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,391,59516-5,"Flag for Date first Dx not populated","",Prid,Pt,Cancer.XXX,Nom,"",LL929-1,NORMATIVE,"","","Flag for Date first Dx not populated Cancer","This flag explains why there is no appropriate value in the corresponding date field, Date of Diagnosis [390]. This data item was added to Volume II Version 12 (effective January 2010)... NAACCR Data Standards and Data Dictionary Version 12"
NAACCR_ID,400,21855-2,"Primary site","",Anat,Pt,Cancer.XXX,Nom,"","","","","","Primary site Cancer","Code for the primary site of the tumor being reported using either ICD-O-2 or ICD-O-3. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed beginning January 1, 1992. In addition, NAACCR recommended that tumors diagnosed prior to 1992 be converted to ICD-O-2. The topography (primary site) codes have not changed between ICD-O-2 and ICD-O-3... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,420,21856-0,"Histology ICD-O-2","",Prid,Pt,Cancer.XXX,Nom,"","","","","","Histology ICD-O-2 Cancer","Codes for the histologic type of the tumor being reported using ICD-O-2. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed in 1992 and later and recommended that prior cases be converted to ICD-O-2.

Note: See Histology (73-91) ICD-O-1 [1971] for ICD-0-1 and field trial codes... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,430,21857-8,"Behavior ICD-O-2","",Prid,Pt,Cancer.XXX,Nom,"",LL212-2,NORMATIVE,"","","Behavior ICD-O-2 Cancer","Code for the behavior of the tumor being reported using ICD-O-2. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed from January 1, 1992, through December 31, 2000. In addition, NAACCR recommended that cases diagnosed prior to 1992 be converted to ICD-O-2. See Behavior (73-91) ICD-O-1 [1972], for ICD-O-1 and field trial codes... NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,439,59521-5,"Flag for Date of diagnosis of multiple tumors not populated","",-,Pt,Cancer.XXX,-,"",LL930-9,NORMATIVE,"","","Flag for Date of diagnosis of multiple tumors not populated Cancer","This flag explains why there is no appropriate value in the corresponding date field, Date of Multiple Tumors [445]. This data item was added to Volume II Version 12 (effective January 2010)... NAACCR Data Standards and Data Dictionary Version 12"
NAACCR_ID,440,21858-6,Grade,"",Prid,Pt,Cancer.XXX,Nom,"",LL213-0,NORMATIVE,"","","Grade Cancer",""
NAACCR_ID,441,59542-1,"Grade pathology value","",Prid,Pt,Cancer.XXX,Nom,"",LL931-7,NORMATIVE,"","","Grade pathology value Cancer","Describes the actual grade according to the grading system in Grade Path System [449]... NAACCR Data Standards and Data Dictionary Version 12"
NAACCR_ID,442,42028-1,"NAACCR ambiguous terminology as basis for diagnosis","",Prid,Pt,Cancer.XXX,Nom,"","","","","","NAACCR ambiguous terminology as basis for diagnosis","Identifies cases for which an ambiguous term is the most definitive word or phrase used to establish a cancer diagnosis (i.e., to determine whether or not the case is reportable). Do not include cases where a definite statement of malignancy is made within two months following the original/initial diagnosis. (This does not include the use of ambiguous terminology from cancer screening followed by a positive cancer confirmation that is follow-up to the screening.) 

Cases include reportable cancer diagnoses (by any method including death certificate only and autopsy only) based only on ambiguous terminology. There is no conclusive diagnosis (positive clinical diagnosis, pathology, etc.) within two months of the original diagnosis that will further qualify the ambiguous term (no longer based on ambiguous terminology). 

Ambiguous terminology may originate from any source document, such as pathology report, radiology report, or from a clinical report. 

This data item is used only when ambiguous terminology is used to establish diagnosis. It is not used when ambiguous terminology is used to clarify a primary site, specific histology, histologic group, or stage of disease. 

Ambiguous terms that are reportable 
Apparent(ly) 
Appears (effective with cases diagnosed 1/1/1998 and later) 
Comparable with (effective with cases diagnosed 1/1/1998 and later) 
Compatible with (effective with cases diagnosed 1/1/1998 and later) 
Consistent with 
Favor(s) 
Malignant appearing (effective with cases diagnosed 1/1/1998 and later) 
Most likely 
Presumed 
Probable 
Suspect(ed) 
Suspicious (for) 
Typical (of) 

Follow-back to a physician or subsequent readmission (following the initial two month diagnosis period) may eventually confirm a cancer diagnosis (conclusive cancer diagnosis greater than two months after date of initial diagnosis that was based on ambiguous terminology). 

These cases should be excluded from case selection in research studies and from annual contact (i.e., follow-up) by registrars. Direct patient contact is not recommended for these cases.

Cases with a reportable cancer diagnosis that has been established based only on reports that contain ambiguous terminology to describe final diagnostic findings cannot currently be identified. 

Multiple surveys have identified a lack of consensus in the interpretation and use of ambiguous terms across physician specialties. These cases may or may not have an actual cancer diagnosis based on clinician, radiologist, and pathologist review. 

Furthermore, the historical interpretation and use of ambiguous terms by cancer registrars and registries has not been consistent or compatible with physician use of these terms. 

This data item will identify specific primary sites where the ambiguous terminology is commonly used to describe or establish a cancer diagnosis. 

Data collected will be used as the basis for modifications to case inclusion and reportable rules following complete analysis and impact assessment. 

This data item will allow cases to be identified within an analysis file. It will also allow these cases to be identified and excluded from patient contact studies.
.. NAACCR Data Standards and Data Dictionary Version 11"
NAACCR_ID,443,42029-9,"Date of conclusive diagnosis","",TmStp,Pt,Cancer.XXX,Qn,"","","","","","Date of conclusive diagnosis Cancer","Documents the date when a conclusive cancer diagnosis (definite statement of malignancy) is made following an initial diagnosis that was based only on ambiguous terminology. The date of the conclusive diagnosis must be greater than two months following the initial (ambiguous terminology only) diagnosis. See page 81 for date format. 

If the date of conclusive diagnosis is within two months following the initial (ambiguous terminology only) diagnosis, the case does not meet the criteria for ambiguous terminology only.

This date will allow analysis of the primary site locations and frequency of cases that were originally diagnosed by ambiguous terminology and later confirmed by other conclusive method.

This date will also allow for analysis of the time interval between cancer diagnosis based on ambiguous terminology and confirmation of the cancer diagnosis by conclusive means. 

The date must be greater than two months from the original/initial diagnosis date.
.. NAACCR Data Standards and Data Dictionary Version 11"
