item,xmlId,parentTag,description
2355,addrCurrentSupplementl,Patient,"This data item provides the ability to store additional address information such as the name of a place or facility, a nursing home, or the name of an apartment complex. This can be used to generate a follow-up inquiry, and must correspond to other fields in the current address. If the patient has multiple tumors, the current address should be the same. "
3803,adenoidCysticBasaloidPattern,Tumor,"Adenoid Cystic Basaloid Pattern, the presence of a basaloid pattern on pathological examination, is a prognostic factor for adenoid cystic carcinoma of the lacrimal gland. "
3804,adenopathy,Tumor,Adenopathy is defined as the presence of lymph nodes greater than 1.5 cm on physical examination (PE) and is part of the staging criteria for Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL).
3805,afpPostOrchiectomyLabValue,Tumor,AFP (Alpha Fetoprotein) Post-Orchiectomy Lab Value refers to the lowest AFP value measured post-orchiectomy. AFP is a serum tumor marker that is often elevated in patients with nonseminomatous germ cell tumors of the testis. The Post-Orchiectomy lab value is used to monitor response to therapy.
3806,afpPostOrchiectomyRange,Tumor,AFP (Alpha Fetoprotein) Post-Orchiectomy Range identifies the range category of the lowest AFP value measured post-orchiectomy.  AFP is a serum tumor marker that is often elevated in patients with nonseminomatous germ cell tumors of the testis. The Post-Orchiectomy lab value is used to monitor response to therapy.
3807,afpPreOrchiectomyLabValue,Tumor,AFP (Alpha Fetoprotein) Pre-Orchiectomy Lab Value refers to the AFP value measured prior to treatment. AFP is a tumor marker that is often elevated in patients with nonseminomatous germ cell tumors of the testis.
3808,afpPreOrchiectomyRange,Tumor,AFP (Alpha Fetoprotein) Pre-Orchiectomy Range identifies the range category of the highest AFP value measured prior to treatment.  AFP is a serum tumor marker that is often elevated in patients with nonseminomatous germ cell tumors of the testis.
3809,afpPretreatmentInterpretation,Tumor,"AFP (Alpha Fetoprotein) Pretreatment Interpretation, a nonspecific serum protein that generally is elevated in the setting of hepatocellular carcinoma (HCC), is a prognostic factor for liver cancer."
3810,afpPretreatmentLabValue,Tumor,AFP (Alpha Fetoprotein) Pretreatment Lab Value is a nonspecific serum protein that generally is elevated in the setting of hepatocellular carcinoma (HCC). This data item pertains to the pre-treatment lab value.
230,ageAtDiagnosis,Tumor,Age of the patient at diagnosis in complete years. Different tumors for the same patient may have different values.
995,ajccId,Tumor,"The values for this data item are based on the chapters of the AJCC manual and will be derived primarily from the site/histology fields and other data items as required.  IDs are assigned to cases for which AJCC staging is applicable. When staging is not applicable, code ‘XX’ is used."
1003,ajccTnmClinM,Tumor,Detailed site-specific codes for the clinical metastases (M) as defined by the current AJCC edition.
1002,ajccTnmClinN,Tumor,Detailed site-specific codes for the clinical nodes (N) as defined by the current AJCC edition.
1034,ajccTnmClinNSuffix,Tumor,"Detailed site-specific codes for the clinical N category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1004,ajccTnmClinStageGroup,Tumor,Detailed site-specific codes for the clinical stage group as defined by the current AJCC edition.
1001,ajccTnmClinT,Tumor,Detailed site-specific codes for the clinical tumor (T) as defined by the current AJCC edition.
1031,ajccTnmClinTSuffix,Tumor,"Detailed site-specific codes for the clinical T category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1013,ajccTnmPathM,Tumor,Detailed site-specific codes for the clinical path (M) as defined by the current AJCC edition.
1012,ajccTnmPathN,Tumor,Detailed site-specific codes for the pathologic nodes (N) as defined by the current AJCC edition.
1035,ajccTnmPathNSuffix,Tumor,"Detailed site-specific codes for the pathological N category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1014,ajccTnmPathStageGroup,Tumor,Detailed site-specific codes for the pathologic stage group as defined by the current AJCC edition.
1011,ajccTnmPathT,Tumor,Detailed site-specific codes for the pathologic tumor (T) as defined by the current AJCC edition.
1032,ajccTnmPathTSuffix,Tumor,"Detailed site-specific codes for the pathological T category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1023,ajccTnmPostTherapyM,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy category metastases (M) as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1022,ajccTnmPostTherapyN,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy nodes (N) as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1036,ajccTnmPostTherapyNSuffix,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy N category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1024,ajccTnmPostTherapyStageGroup,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy stage group as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1021,ajccTnmPostTherapyT,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy tumor (T) as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
1033,ajccTnmPostTherapyTSuffix,Tumor,"Detailed site-specific codes for the postneoadjuvant therapy T category suffix as defined by AJCC.Clinical, pathological, and postneoadjuvant therapy stage data are given three separate areas in the NAACCR Data Exchange Record Layout."
350,,,"The NAACCR UDSC retired this data item in Version 12, as of January 1, 2010."
442,ambiguousTerminologyDx,Tumor,"Identifies all cases, including death certificate only and autopsy only, for which an ambiguous term is the most definitive word or phrase used to establish a cancer diagnosis (i.e., to determine whether or not the case is reportable). Ambiguous terminology may originate from any source document, such as pathology report, radiology report, or from a clinical report. This data item is used only when ambiguous terminology is used to establish diagnosis. It is not used when ambiguous terminology is used to clarify a primary site, specific histology, histologic group, or stage of disease. "
3811,anemia,Tumor,"Anemia is defined by a deficiency of red blood cells or of hemoglobin in the blood. In staging of Chronic Lymphocytic Leukemia/Small Lymphocytic Leukemia (CLL/SLL), anemia is defined as Hgb less than 11.0 g/dL."
3100,archiveFin,Tumor,This field identifies the CoC Facility Identification Number (FIN) of the facility at the time it originally accessioned the tumor. 
1930,autopsy,Patient,Code indicating whether or not an autopsy was performed.
3812,bSymptoms,Tumor,"B symptoms refer to systemic symptoms of fever, night sweats, and weight loss which can be associated with both Hodgkin lymphoma and some non-Hodgkin lymphomas. The presence of B symptoms is a prognostic factor for some lymphomas."
1972,behaviorIcdO1,Tumor,"Area for retaining behavior portion (1 digit) of the ICD-O-1 or field trial morphology codes entered before a conversion to ICD-O-2. See grouped data item Morph (73-91) ICD-O-1 [1970] in Appendix E. The item name includes years 73-91. However, some states may have used the codes for cases before 1973. It is a subfield of the morphology code. "
430,behaviorIcdO2,Tumor,"Code for the behavior of the tumor being reported using ICD-O-2. NAACCR adopted ICD-O-2 as the standard coding system for tumors diagnosed from January 1, 1992, through December 31, 2000. In addition, NAACCR recommended that cases diagnosed prior to 1992 be converted to ICD-O-2. See Behavior (73-91) ICD-O-1 [1972], for ICD-O-1 and field trial codes. "
523,behaviorCodeIcdO3,Tumor,"Code for the behavior of the tumor being reported using ICD-O-3. NAACCR adopted ICD-O-3 as the standard coding system for tumors diagnosed beginning January 1, 2001, and later recommended that prior cases be converted from ICD-O-2. See Behavior (92-00) ICD-O-2 [430], for ICD-O-2 codes.Juvenile astrocytoma is coded as borderline in ICD-O-3; North American registries report as 9421/3. "
3813,bilirubinPretreatmentTotalLabValue,Tumor,Bilirubin Pretreatment Total Lab Value records the bilirubin value prior to treatment. Bilirubin level is an indicator of how effectively the liver excretes bile and is required to calculate the Model for End-Stage Liver Disease (MELD) score used to assign priority for liver transplant.
3814,bilirubinPretreatmentUnitOfMeasure,Tumor,Bilirubin Pretreatment Unit of Measure identifies the unit of measure for the bilirubin value measured prior to treatment. Bilirubin is commonly measured in units of Milligrams/deciliter (mg/dL) in the United States and Micromoles/liter (umol/L) in Canada and Europe.
250,birthplace,Patient,"Code for place of birth of the patient. If a patient has multiple tumors, all records should contain the same code. "
254,birthplaceCountry,Patient,"Code for the country in which the patient was born. If the patient has multiple tumors, all records should contain the same code. This data item became part of the NAACCR transmission record effective with Volume II, Version 13 in order to include country and state for each geographic item and to use interoperable codes. It supplements the item BIRTHPLACE--STATE [252].  These two data items are intended to replace the use of BIRTHPLACE [250]. "
252,birthplaceState,Patient,"USPS abbreviation for the state, commonwealth, U.S. possession; or CanadaPost abbreviation for the Canadian province/territory in which the patient was born. If the patient has multiple primaries, the state of birth is the same for each tumor. This data item became part of the NAACCR transmission record effective with Volume II, Version 13 in order to include country and state for each geographic item and to use interoperable codes. It supplements the item BIRTHPLACE--COUNTRY [254].  These two data items are intended to replace the item BIRTHPLACE [250]. "
3815,boneInvasion,Tumor,"Bone invasion, the presence or absence of bone invasion based on imaging, is a prognostic factor for soft tissue sarcomas."
3816,brainMolecularMarkers,Tumor,Multiple brain molecular markers have become standard pathology components necessary for diagnosis. This data item captures clinically important brain cancer subtypes identified by molecular markers that are not distinguishable by ICD-O-3 codes.
3817,breslowTumorThickness,Tumor,"Breslow Tumor Thickness, the measurement of the thickness of a melanoma as defined by Dr. Alexander Breslow, is a prognostic factor for Melanoma of the Skin."
3818,ca125PretreatmentInterpretation,Tumor,"Carbohydrate Antigen 125 (CA-125) is a tumor marker that is useful for following the response to therapy in patients with ovarian cancer, who may have elevated levels of this marker."
1770,cancerStatus,Tumor,"Records the presence or absence of clinical evidence of the patient's malignant or non-malignant tumor as of the Date of Last Cancer (tumor) Status [1772]. If the patient has multiple primaries, the values may be different for each primary.
"
501,casefindingSource,Tumor,"This variable codes the earliest source of identifying information. For cases identified by a source other than reporting facilities (such as through death clearance or as a result of an audit), this variable codes the type of source through which the tumor was first identified. This data item cannot be used by itself as a data quality indicator. The timing of the casefinding processes (e.g., death linkage) varies from registry to registry, and the coded value of this variable is a function of that timing. "
1910,causeOfDeath,Patient,"Official cause of death as coded from the death certificate in valid ICD-7, ICD-8, ICD-9, and ICD-10 codes. "
3819,ceaPretreatmentInterpretation,Tumor,"CEA (Carcinoembryonic Antigen) Pretreatment Interpretation refers to the interpretation of the CEA value prior to treatment. CEA is a glycoprotein that is produced by adenocarcinomas from all sites as well as many squamous cell carcinomas of the lung and other sites. CEA may be measured in blood, plasma or serum. CEA is a prognostic marker for adenocarcinomas of the appendix, colon and rectum and is used to monitor response to treatment"
3820,ceaPretreatmentLabValue,Tumor,CEA (Carcinoembryonic Antigen) Pretreatment Lab Value records the CEA value prior to treatment. CEA is a nonspecific tumor marker that has prognostic significance for colon and rectum cancer.
362,censusBlockGroup2000,Tumor,"This field is provided for coding the block group of patient’s residence at time of diagnosis, as defined by the 2000 Census."
363,censusBlockGroup2010,Tumor,"This field is provided for coding the block group of patient’s residence at time of diagnosis, as defined by the 2010 Census."
361,censusBlockGroup2020,Tumor,"This field is provided for coding the block group of patient's residence at time of diagnosis, as defined by the 2020 Census."
368,censusBlockGrp197090,Tumor,"This field is provided for coding the block group of patient's residence at time of diagnosis, as defined by the 1970, 1980, or 1990 Census."
120,censusCodSys19708090,Tumor,Identified the set of Census Bureau census tract definitions (boundaries) that were used to code the census tract in Census Tract 1970/80/90 [110] for a specific record.
280,censusIndCode19702000,Tumor,"Code for the patient’s usual industry, using U.S. Census Bureau codes (2000 Census26 is preferable) according to coding procedures recommended for death certificates.25 This data item applies only to patients who are age 14 years or older at the time of diagnosis.Note: Occupation/industry coding should NOT be performed by reporting facilities. This is a central cancer registry data item. Specially trained and qualified personnel should perform coding.Formerly Industry Code--Census. Note: 2000 Census codes for occupation and industry are recommended for tumors diagnosed on or after January 1, 2003.26 The 1990 Census codes are recommended for tumors diagnosed before January 1, 2003.24 For more information, see the U.S. Census Bureau website at: http://www.census.gov/hhes/www/ioindex/ioindex.html. "
272,censusIndCode2010,Tumor,"Code for the patient's usual industry, using U.S. Census Bureau codes and NIOSH non-paid worker codes. This data item applies only to patients who are age 14 years or older at the time of diagnosis. Usual industry refers to the type of activity at the patient's place of work for most of his or her working life. Formerly Census Ind Code 2010."
270,censusOccCode19702000,Tumor,"Code for the patient’s usual occupation, using U.S. Census Bureau codes (see note below) according to coding procedures recommended for death certificates.22   This data item applies only to patients who are age 14 years or older at the time of diagnosis. Usual occupation is defined as type of job the patient was engaged in for most of his or her working life.                    Note:     Occupation/industry coding should NOT be performed by reporting facilities. This is a central registry data item. Specially trained and qualified personnel should perform coding.                            Note: The 3-digit 2000 Census codes for occupation are recommended for tumors diagnosed on or after January 1, 2003, and prior to January 1, 2013.23, 25 The 3 digit 1990 Census codes for occupation are recommended for tumors diagnosed before January 1, 2003.24, 26 The 4-digit Census occupation codes are recommended for tumors diagnosed on or after January 1, 2013, and should be reported in NAACCR data item Census Occ Code 2010 CDC [282]. For more information, see the U.S. Bureau of the Census website at:          http://www.census.gov/hhes/www/ioindex/ioindex.html        .    Formerly Occupation Code--Census."
282,censusOccCode2010,Tumor,"Code for the patient's usual occupation, using U.S. Census Bureau codes and NIOSH non-paid worker codes. This data item applies only to patients who are age 14 years or older at the time of diagnosis. Usual occupation is defined as the type of job the patient was engaged in for most of his or her working life. Formerly Census Occ Code 2010."
330,censusOccIndSys7000,Tumor,"Code that identifies coding system used for occupation and industry. This is a central cancer registry data item (i .e., codes should be applied by a central or regional registry rather than collected from reporting facilities).      Formerly Occup/Ind Coding System. "
364,censusTrCert19708090,Tumor,Code indicating basis of assignment of census tract or block numbering area (BNA) for an individual record.Helpful in identifying cases tracted from incomplete information or P.O. Box. This item is not coded by the hospital. Central registry staff manually assign the code.
365,censusTrCertainty2000,Tumor,Code indicating basis of assignment of census tract for an individual record. Helpful in identifying cases tracted from incomplete information or P.O. Box. This item is not coded by the hospital. Central registry staff assign the code.
367,censusTrCertainty2010,Tumor,"
  Code indicating basis of assignment of census tract for an individual record. Helpful in identifying cases tracted from incomplete information or P.O. Box. This item is not coded by the hospital. Central registry staff assign the code.
"
145,censusTrPovertyIndictr,Tumor,"Assigns a code for neighborhood poverty level based on the census tract of diagnosis address. Cases diagnosed between 1995 and 2004 are assigned a code based on the 2000 U.S. Census, the last decennial census for which poverty level was collected. Cases diagnosed since 2005 are assigned a code based on the American Community Survey (ACS). The ACS publishes tract-level poverty data annually, on a rolling five-year window, with a two-year lag (e.g., poverty data for 2006-2010 will be available in 2012). Cases for a given diagnosis year are initially coded using the most recent file available when the cancer data are first released, and the item is subsequently coded using the ACS file centered on the year of diagnosis. For example, cases diagnosed in 2012 will initially be coded using the 2008-2012 ACS file, and two years later using the 2010-2014 ACS file. An exception to this rule is that cases diagnosed in 2005 and 2006 will be coded using the 2005-2009 ACS file, because this was the first such file released. Codes may be automatically assigned by running the Poverty and Census Tract Linkage Program available through the Data Analysis Tools section of the NAACCR website. "
110,censusTract19708090,Tumor,"Identifies the patient's census tract of residence at the time the tumor was diagnosed. Census Tract 70/80/90 is a derived (geocoded) variables based on the Census Boundary files from 1970, 1980, 1990 Decennial Census. See Census Tract 2000 [130]; Census Tract 2010 [135]; Census Tract 2020 [125]. Codes are those used by the U.S. Census Bureau for the Year 1970, 1980 or 1990 Census. Refer to Census Cod Sys 1970/80/90 [120] to ascertain the decade of reference. For consolidated records, the geocoded state should be based on the best address at diagnosis information identified."
130,censusTract2000,Tumor,"Identifies the patient's census tract of residence at the time the tumor was diagnosed. Census Tract 2000 is a derived (geocoded) variables based on the Census Boundary files from 2000. See Census Tract 70/80/90 [110]; Census Tract 2010 [135]; Census Tract 2020 [125]. Codes are those used by the U.S. Census Bureau for the Year 2000 Census. For consolidated records, the geocoded state should be based on the best address at diagnosis information identified."
135,censusTract2010,Tumor,"Identifies the patient's census tract of residence at the time the tumor was diagnosed. Census Tract 2010 is a derived (geocoded) variables based on the Census Boundary files from 2010. See Census Tract 1970/80/90 [110]; Census Tract 2000 [130]; Census Tract 2020 [125]. Codes are those used by the U.S. Census Bureau for the Year 2010 Census. For consolidated records, the geocoded state should be based on the best address at diagnosis information identified."
125,censusTract2020,Tumor,"Identifies the patient's census tract of residence at the time the tumor was diagnosed. Census Tract 2020 is a derived (geocoded) variables based on the Census Boundary files from 2020 See Census Tract 1970/80/90 [110]; Census Tract 2000 [130]; Census Tract 2010 [135]. Codes are those used by the U.S. Census Bureau for the Year 2020 Census. Census tract codes have a 4-digit basic number and also may have a 2-digit suffix. Census tract numbers range from 0001.00 to 9999.98, but the decimal should not be retained in the NAACCR layout."
369,censusTractCertainty2020,Tumor,Code indicating basis of assignment of census tract for an individual record. Helpful in identifying cases geocoded from incomplete information or P.O. Box. This item is not coded by the hospital. Central registry staff assign the code based on the results of geocoding.
140,,,This data item was retired for Version 10 because Census Tract--2000 [130] is expected to contain only Census 2000 codes.
1600,,,"This field has been listed as in development since 1996. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
1610,,,"This field has been listed as in development since 1996. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
1620,,,"This field has been listed as in development since 1996. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
1630,,,"This field has been listed as in development since 1996. The NAACCR UDSC retired this data item in Version 10.1, as of January 1, 2004."
3802,chromosome19qLossOfHeterozygosity,Tumor,"Chromosome 19q: Loss of Heterozygosity (LOH) refers to the loss of genetic material normally found on the long arm of one of the patient's two copies of chromosome 19. Codeletion of Chromosome 1p and 19q is a diagnostic, prognostic and predictive marker for gliomas and is strongly associated with the oligodendroglioma phenotype."
3801,chromosome1pLossOfHeterozygosity,Tumor,"Chromosome 1p: Loss of Heterozygosity (LOH) refers to the loss of genetic material normally found on the short arm of one of the patient's two copies of chromosome 1. Codeletion of Chromosome 1p and 19q is a diagnostic, prognostic and predictive marker for gliomas and is strongly associated with the oligodendroglioma phenotype."
3821,chromosome3Status,Tumor,"Chromosome 3 Status refers to the partial or total loss of Chromosome 3, which is a prognostic factor for uveal melanoma."
3822,chromosome8qStatus,Tumor,"Chromosome 8q Status refers to gain in Chromosome 8q, which is a prognostic factor for uveal melanoma."
3823,circumferentialResectionMargin,Tumor,"Circumferential or Radial Resection Margin, the distance in millimeters between the leading edge of the tumor and the surgically dissected margin as recorded on the pathology report, is a prognostic indicator for colon and rectal cancer.  This may also be referred to as the Radial Resection Margin or surgical clearance."
610,classOfCase,Tumor,"Class of Case divides cases into two groups. Analytic cases (codes 00-22) are those that are required by CoC to be abstracted because of the program’s primary responsibility in managing the cancer. Analytic cases are grouped according to the location of diagnosis and treatment. Treatment and outcome reports may be limited to analytic cases. Nonanalytic cases (codes 30-49 and 99) may be abstracted by the facility to meet central registry requirements or because of a request by the facility’s cancer program. Nonanalytic cases are grouped according to the reason a patient who received care at the facility is nonanalytic, or the reason a patient who never received care at the facility may have been abstracted. Class of Case can be used in conjunction with Type of Reporting Source [500]. Type of Reporting Source is designed to document the source of documents used to abstract the cancer being reported."
2152,cocAccreditedFlag,Tumor,CoC Accredited Flag is assigned at the point and time of data abstraction to label an abstract being prepared for an analytic cancer case at a facility accredited by the Commission on Cancer (CoC). The flag may be assigned manually or can be defaulted by the registry’s software.
2140,cocCodingSysCurrent,Tumor,Code the ACoS CoC coding system currently used in the record. CoC codes may be converted from an earlier version. 
2150,cocCodingSysOriginal,Tumor,Code for the ACoS CoC coding system originally used to code the record. 
870,codingSystemForEod,Tumor,Indicates the type of SEER EOD code applied to the tumor. Should be used whenever EOD coding is applied. 
3110,comorbidComplication1,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses"
3164,comorbidComplication10,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3120,comorbidComplication2,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3130,comorbidComplication3,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3140,comorbidComplication4,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3150,comorbidComplication5,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3160,comorbidComplication6,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3161,comorbidComplication7,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3162,comorbidComplication8,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
3163,comorbidComplication9,Tumor,"Records the patient’s pre-existing medical conditions, factors influencing health status, and/or complications during the patient’s hospital stay for the treatment of this cancer using ICD-9-CM codes. All are considered secondary diagnoses."
200,computedEthnicity,Patient,Code identifying those cases for which ethnicity was determined by matching Name--Last [2230] and Name--Maiden [2390] to a computer list of Spanish/Hispanic names or by a software algorithm. This field was adopted for use for tumors diagnosed 1994 forward. See also Computed Ethnicity Source [210].
210,computedEthnicitySource,Patient,Code identifying the method used to determine ethnicity as recorded in Computed Ethnicity [200].
89,countyAtDxAnalysis,Tumor,County at Diagnosis Analysis Code for the county of the patient's residence at the time the tumor was diagnosed is a derived variable to be used for county and county-based (such as CHSDA) rates and analysis for all cases regardless of year of diagnosis.
94,countyAtDxGeocode1990,Tumor,County at Diagnosis 1990 Code for the county of the patient’s residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 1990 Decennial Census. This code should be used for county and county-based (such as CHSDA) rates and analysis for all cases diagnosed prior to 2000.
95,countyAtDxGeocode2000,Tumor,"Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2000 Decennial Census. 

















This code should be used for county and county-based (such as CHSDA) rates and analysis for all cases diagnosed in 2000-2009. "
96,countyAtDxGeocode2010,Tumor,County at Diagnosis 2010 Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2010 Decennial Census. This code should be used for county and county-based (such as CHSDA) rates and analysis for all cases diagnosed in 2010-2019.
97,countyAtDxGeocode2020,Tumor,"Code for the county of the patient's residence at the time the tumor was diagnosed is a derived (geocoded) variable based on Census Boundary files from 2020 Decennial Census. 




















This code should be used for county and county-based (such as CHSDA) rates and analysis for all cases diagnosed in 2020-2029. "
90,countyAtDx,Tumor,"Code for the county of the patients residence at the time of diagnosis as identified by the Reporting Source. For U.S. residents, standard codes are those of the FIPS publication Counties and Equivalent Entities of the United States, Its Possessions, and Associated Areas or their equivalent INCITS codes.Calculating county and county-based variable rates using this item is not recommended. The more specific, geocoded county items should be used when available. "
1840,countyCurrent,Patient,"Code for county of patient’s current residence. See Chapter V, Unresolved Issues, for further discussion.Note: This item was used by CoC only. CoC recommended use of FIPS codes (see Appendix A). The ROADS Manual also provided for use of geocodes for countries of residence outside the United States and Canada to be used in the county fields. "
2081,crcChecksum,Tumor,"Cyclic Redundancy Code (CRC) CHECKSUM for the NAACCR record in which it resides. A unique value is calculated for each unique record in a NAACCR file. The value is calculated by applying a CRC algorithm to all data fields of the NAACCR record (excluding the CRC CHECKSUM field). Following a transmission, the CRC CHECKSUM can be recalculated and compared with the transmitted CHECKSUM. Identical values indicate an error-free transmission; differing values indicate an error in transmission.The algorithm recommended by NAACCR is on the NAACCR website at: http://www.naaccr.org. Users must provide recipients of the data with the algorithm used to create the data transmission file. Otherwise, the item should be left blank. "
3824,creatininePretreatmentLabValue,Tumor,"Creatinine Pretreatment Lab Value, an indicator of kidney function is required to calculate the Model for End-Stage Liver Disease (MELD) score, which is used to assign priority for liver transplant."
3825,creatininePretreatmentUnitOfMeasure,Tumor,Creatinine Pretreatment Unit of Measure identifies the unit of measure for the creatinine value measured in blood or serum prior to treatment. Creatinine is commonly measured in units of Milligrams/deciliter (mg/dL) in the United States and Micromoles/liter (umol/L) in Canada and Europe.
