naaccrNum,sectionId,section,naaccrId,naaccrName,length,source,loinc_num,scale_typ,AnswerListId,scheme,valtype_cd,phi_id_kind
1960,3,Edit Overrides/Conversion History/System Admin,siteIcdO1,Site (73-91) ICD-O-1,4,SEER,21988-1,Nom,,,@,
1971,3,Edit Overrides/Conversion History/System Admin,histologyIcdO1,Histology (73-91) ICD-O-1,4,SEER,42066-1,Nom,,,@,
1972,3,Edit Overrides/Conversion History/System Admin,behaviorIcdO1,Behavior (73-91) ICD-O-1,1,SEER,42632-0,Nom,,,@,
1973,3,Edit Overrides/Conversion History/System Admin,gradeIcdO1,Grade (73-91) ICD-O-1,1,SEER,,Nom,,grade,@,
1980,3,Edit Overrides/Conversion History/System Admin,icdO2ConversionFlag,ICD-O-2 Conversion Flag,1,SEER,21990-7,Nom,LL151-2,icdO2ConversionFlag,@,
1981,3,Edit Overrides/Conversion History/System Admin,overRideSsNodespos,Over-ride SS/NodesPos,1,NAACCR,42067-9,Ord,LL152-0,,@,
1982,3,Edit Overrides/Conversion History/System Admin,overRideSsTnmN,Over-ride SS/TNM-N,1,NAACCR,42068-7,Ord,LL152-0,,@,
1983,3,Edit Overrides/Conversion History/System Admin,overRideSsTnmM,Over-ride SS/TNM-M,1,NAACCR,42069-5,Ord,LL152-0,,@,
1985,3,Edit Overrides/Conversion History/System Admin,overRideAcsnClassSeq,Over-ride Acsn/Class/Seq,1,CoC,42071-1,Ord,LL152-0,,@,
1986,3,Edit Overrides/Conversion History/System Admin,overRideHospseqDxconf,Over-ride HospSeq/DxConf,1,CoC,42072-9,Ord,LL152-0,,@,
1987,3,Edit Overrides/Conversion History/System Admin,overRideCocSiteType,Over-ride CoC-Site/Type,1,CoC,42073-7,Ord,LL152-0,,@,
1988,3,Edit Overrides/Conversion History/System Admin,overRideHospseqSite,Over-ride HospSeq/Site,1,CoC,42074-5,Ord,LL152-0,,@,
1989,3,Edit Overrides/Conversion History/System Admin,overRideSiteTnmStggrp,Over-ride Site/TNM-StgGrp,1,CoC,42075-2,Ord,LL152-0,,@,
1990,3,Edit Overrides/Conversion History/System Admin,overRideAgeSiteMorph,Over-ride Age/Site/Morph,1,SEER,21991-5,Ord,LL152-0,overRideAgeSiteMorph,@,
1992,3,Edit Overrides/Conversion History/System Admin,overRideTnmStage,Over-ride TNM Stage,1,NAACCR,,Ord,,,@,
1993,3,Edit Overrides/Conversion History/System Admin,overRideTnmTis,Over-ride TNM Tis,1,NAACCR,,Ord,,,@,
1994,3,Edit Overrides/Conversion History/System Admin,overRideTnm3,Over-ride TNM 3,1,NAACCR,,Ord,,,@,
2000,3,Edit Overrides/Conversion History/System Admin,overRideSeqnoDxconf,Over-ride SeqNo/DxConf,1,SEER,21992-3,Ord,LL152-0,,@,
2010,3,Edit Overrides/Conversion History/System Admin,overRideSiteLatSeqno,Over-ride Site/Lat/SeqNo,1,SEER,21993-1,Ord,LL152-0,,@,
2020,3,Edit Overrides/Conversion History/System Admin,overRideSurgDxconf,Over-ride Surg/DxConf,1,SEER,21994-9,Ord,LL152-0,,@,
2030,3,Edit Overrides/Conversion History/System Admin,overRideSiteType,Over-ride Site/Type,1,SEER,21995-6,Ord,LL152-0,,@,
2040,3,Edit Overrides/Conversion History/System Admin,overRideHistology,Over-ride Histology,1,SEER,21996-4,Ord,LL167-8,overRideHistology,@,
2050,3,Edit Overrides/Conversion History/System Admin,overRideReportSource,Over-ride Report Source,1,SEER,21997-2,Ord,LL152-0,,@,
2060,3,Edit Overrides/Conversion History/System Admin,overRideIllDefineSite,Over-ride Ill-define Site,1,SEER,21998-0,Ord,LL152-0,,@,
2070,3,Edit Overrides/Conversion History/System Admin,overRideLeukLymphoma,"Over-ride Leuk, Lymphoma",1,SEER,21999-8,Ord,LL152-0,,@,
2071,3,Edit Overrides/Conversion History/System Admin,overRideSiteBehavior,Over-ride Site/Behavior,1,SEER,22000-4,Ord,LL152-0,,@,
2072,3,Edit Overrides/Conversion History/System Admin,overRideSiteEodDxDt,Over-ride Site/EOD/DX Dt,1,SEER,22001-2,Ord,LL152-0,,@,
2073,3,Edit Overrides/Conversion History/System Admin,overRideSiteLatEod,Over-ride Site/Lat/EOD,1,SEER,22002-0,Ord,LL152-0,,@,
2074,3,Edit Overrides/Conversion History/System Admin,overRideSiteLatMorph,Over-ride Site/Lat/Morph,1,SEER,22003-8,Ord,LL152-0,,@,
2078,3,Edit Overrides/Conversion History/System Admin,overRideNameSex,Over-ride Name/Sex,1,NAACCR,,Ord,,,@,
2081,3,Edit Overrides/Conversion History/System Admin,crcChecksum,CRC CHECKSUM,10,NAACCR,22004-6,Qn,,,?,
2085,3,Edit Overrides/Conversion History/System Admin,dateCaseInitiated,Date Case Initiated,8,NAACCR,59510-8,Qn,,,D,
2090,3,Edit Overrides/Conversion History/System Admin,dateCaseCompleted,Date Case Completed,8,NAACCR,22005-3,Qn,,,D,
2092,3,Edit Overrides/Conversion History/System Admin,dateCaseCompletedCoc,Date Case Completed--CoC,8,CoC,59509-0,Qn,,,D,
2100,3,Edit Overrides/Conversion History/System Admin,dateCaseLastChanged,Date Case Last Changed,8,NAACCR,22006-1,Qn,,,D,
2110,3,Edit Overrides/Conversion History/System Admin,dateCaseReportExported,Date Case Report Exported,8,NPCR,22007-9,Qn,,,D,
2111,3,Edit Overrides/Conversion History/System Admin,dateCaseReportReceived,Date Case Report Received,8,NPCR,22008-7,Qn,,,D,
2112,3,Edit Overrides/Conversion History/System Admin,dateCaseReportLoaded,Date Case Report Loaded,8,NPCR,22009-5,Qn,,,D,
2113,3,Edit Overrides/Conversion History/System Admin,dateTumorRecordAvailbl,Date Tumor Record Availbl,8,NPCR,22010-3,Qn,,,D,
2116,3,Edit Overrides/Conversion History/System Admin,icdO3ConversionFlag,ICD-O-3 Conversion Flag,1,SEER/CoC,42076-0,Nom,LL176-9,icdO3ConversionFlag,@,
2120,3,Edit Overrides/Conversion History/System Admin,seerCodingSysCurrent,SEER Coding Sys--Current,1,NAACCR,22011-1,Nom,LL177-7,seer_coding_system,@,
2130,3,Edit Overrides/Conversion History/System Admin,seerCodingSysOriginal,SEER Coding Sys--Original,1,NAACCR,22012-9,Nom,LL177-7,seer_coding_system,@,
2140,3,Edit Overrides/Conversion History/System Admin,cocCodingSysCurrent,CoC Coding Sys--Current,2,CoC,22013-7,Nom,LL179-3,cocCodingSysCurrent,@,
2150,3,Edit Overrides/Conversion History/System Admin,cocCodingSysOriginal,CoC Coding Sys--Original,2,CoC,22014-5,Nom,LL179-3,cocCodingSysOriginal,@,
2152,3,Edit Overrides/Conversion History/System Admin,cocAccreditedFlag,CoC Accredited Flag,1,NPCR,,Nom,,cocAccreditedFlag,@,
2155,3,Edit Overrides/Conversion History/System Admin,rqrsNcdbSubmissionFlag,RQRS NCDB Submission Flag,1,CoC,,Nom,,rqrsNcdbSubmissionFlag,@,
2170,3,Edit Overrides/Conversion History/System Admin,vendorName,Vendor Name,10,NAACCR,,Nom,,,T,
2180,3,Edit Overrides/Conversion History/System Admin,seerTypeOfFollowUp,SEER Type of Follow-Up,1,SEER,22015-2,Nom,LL181-9,seerTypeOfFollowUp,@,
2190,3,Edit Overrides/Conversion History/System Admin,seerRecordNumber,SEER Record Number,2,SEER,22016-0,Ord,LL182-7,,@,
2200,3,Edit Overrides/Conversion History/System Admin,diagnosticProc7387,Diagnostic Proc 73-87,2,SEER,,?,,,?,
3750,3,Edit Overrides/Conversion History/System Admin,overRideCs1,Over-ride CS 1,1,AJCC,,Ord,,,@,
3751,3,Edit Overrides/Conversion History/System Admin,overRideCs2,Over-ride CS 2,1,AJCC,,Ord,,,@,
3752,3,Edit Overrides/Conversion History/System Admin,overRideCs3,Over-ride CS 3,1,AJCC,,Ord,,,@,
3753,3,Edit Overrides/Conversion History/System Admin,overRideCs4,Over-ride CS 4,1,AJCC,,Ord,,,@,
3754,3,Edit Overrides/Conversion History/System Admin,overRideCs5,Over-ride CS 5,1,AJCC,,Ord,,,@,
3755,3,Edit Overrides/Conversion History/System Admin,overRideCs6,Over-ride CS 6,1,AJCC,,Ord,,,@,
3756,3,Edit Overrides/Conversion History/System Admin,overRideCs7,Over-ride CS 7,1,AJCC,,Ord,,,@,
3757,3,Edit Overrides/Conversion History/System Admin,overRideCs8,Over-ride CS 8,1,AJCC,,Ord,,,@,
3758,3,Edit Overrides/Conversion History/System Admin,overRideCs9,Over-ride CS 9,1,AJCC,,Ord,,,@,
3759,3,Edit Overrides/Conversion History/System Admin,overRideCs10,Over-ride CS 10,1,AJCC,,Ord,,,@,
3760,3,Edit Overrides/Conversion History/System Admin,overRideCs11,Over-ride CS 11,1,AJCC,,Ord,,,@,
3761,3,Edit Overrides/Conversion History/System Admin,overRideCs12,Over-ride CS 12,1,AJCC,,Ord,,,@,
3762,3,Edit Overrides/Conversion History/System Admin,overRideCs13,Over-ride CS 13,1,AJCC,,Ord,,,@,
3763,3,Edit Overrides/Conversion History/System Admin,overRideCs14,Over-ride CS 14,1,AJCC,,Ord,,,@,
3764,3,Edit Overrides/Conversion History/System Admin,overRideCs15,Over-ride CS 15,1,AJCC,,Ord,,,@,
3765,3,Edit Overrides/Conversion History/System Admin,overRideCs16,Over-ride CS 16,1,AJCC,,Ord,,,@,
3766,3,Edit Overrides/Conversion History/System Admin,overRideCs17,Over-ride CS 17,1,AJCC,,Ord,,,@,
3767,3,Edit Overrides/Conversion History/System Admin,overRideCs18,Over-ride CS 18,1,AJCC,,Ord,,,@,
3768,3,Edit Overrides/Conversion History/System Admin,overRideCs19,Over-ride CS 19,1,AJCC,,Ord,,,@,
3769,3,Edit Overrides/Conversion History/System Admin,overRideCs20,Over-ride CS 20,1,AJCC/NPCR,,Nom,,overRideCs20,@,
1750,4,Follow-up/Recurrence/Death,dateOfLastContact,Date of Last Contact,8,SEER/CoC,21975-8,Qn,,,D,
1751,4,Follow-up/Recurrence/Death,dateOfLastContactFlag,Date of Last Contact Flag,2,NAACCR,59520-7,Nom,LL920-0,,@,
1755,4,Follow-up/Recurrence/Death,dateOfDeathCanada,Date of Death--Canada,8,CCCR,53719-1,Qn,LL612-3,,D,
1756,4,Follow-up/Recurrence/Death,dateOfDeathCanadaFlag,Date of Death--Canada Flag,2,NAACCR,59515-7,Nom,LL921-8,,@,
1760,4,Follow-up/Recurrence/Death,vitalStatus,Vital Status,1,SEER/CoC,31210-8,Nom,LL130-6,,@,
1762,4,Follow-up/Recurrence/Death,vitalStatusRecode,Vital Status Recode,1,NAACCR,,Ord,,,@,
1770,4,Follow-up/Recurrence/Death,cancerStatus,Cancer Status,1,CoC,21976-6,Nom,LL131-4,,@,
1772,4,Follow-up/Recurrence/Death,dateOfLastCancerStatus,Date of Last Cancer (tumor) Status,8,CoC,,Qn,,,D,
1773,4,Follow-up/Recurrence/Death,dateOfLastCancerStatusFlag,Date of Last Cancer (tumor) Status Flag,2,CoC,,Nom,,,@,
1775,4,Follow-up/Recurrence/Death,recordNumberRecode,Record Number Recode,2,NAACCR,,Qn,,,N,
1780,4,Follow-up/Recurrence/Death,qualityOfSurvival,Quality of Survival,1,CoC,21977-4,Nom,LL132-2,qualityOfSurvival,@,
1782,4,Follow-up/Recurrence/Death,survDateActiveFollowup,Surv-Date Active Followup,8,NAACCR,,Qn,,,D,
1783,4,Follow-up/Recurrence/Death,survFlagActiveFollowup,Surv-Flag Active Followup,1,NAACCR,,Nom,,survival_flag,@,
1784,4,Follow-up/Recurrence/Death,survMosActiveFollowup,Surv-Mos Active Followup,4,NAACCR,,Qn,,,N,
1785,4,Follow-up/Recurrence/Death,survDatePresumedAlive,Surv-Date Presumed Alive,8,NAACCR,,Qn,,,D,
1786,4,Follow-up/Recurrence/Death,survFlagPresumedAlive,Surv-Flag Presumed Alive,1,NAACCR,,Nom,,survival_flag,@,
1787,4,Follow-up/Recurrence/Death,survMosPresumedAlive,Surv-Mos Presumed Alive,4,NAACCR,,Qn,,,N,
1788,4,Follow-up/Recurrence/Death,survDateDxRecode,Surv-Date DX Recode,8,NAACCR,,Qn,,,D,
1790,4,Follow-up/Recurrence/Death,followUpSource,Follow-Up Source,1,CoC,21978-2,Nom,LL133-0,followUpSource,@,
1791,4,Follow-up/Recurrence/Death,followUpSourceCentral,Follow-up Source Central,2,NAACCR,42061-2,Nom,,followUpSourceCentral,@,
1800,4,Follow-up/Recurrence/Death,nextFollowUpSource,Next Follow-Up Source,1,CoC,21979-0,Nom,LL135-5,nextFollowUpSource,@,
1810,4,Follow-up/Recurrence/Death,addrCurrentCity,Addr Current--City,50,CoC,,Nom,,,Ti,geo
1820,4,Follow-up/Recurrence/Death,addrCurrentState,Addr Current--State,2,CoC,,Nom,,state,@,
1830,4,Follow-up/Recurrence/Death,addrCurrentPostalCode,Addr Current--Postal Code,9,CoC,,Nom,,,Ti,geo
1840,4,Follow-up/Recurrence/Death,countyCurrent,County--Current,3,NAACCR,42062-0,Nom,LL138-9,,Ti,geo
1842,4,Follow-up/Recurrence/Death,followUpContactCity,Follow-Up Contact--City,50,SEER,,Nom,,,Ti,geo
1844,4,Follow-up/Recurrence/Death,followUpContactState,Follow-Up Contact--State,2,SEER,,Nom,,state,@,
1846,4,Follow-up/Recurrence/Death,followUpContactPostal,Follow-Up Contact--Postal,9,SEER,,Nom,,,Ti,geo
1850,4,Follow-up/Recurrence/Death,unusualFollowUpMethod,Unusual Follow-Up Method,2,NAACCR,21980-8,Nar,,,?,
1860,4,Follow-up/Recurrence/Death,recurrenceDate1st,Recurrence Date--1st,8,CoC,21981-6,Qn,,,D,
1861,4,Follow-up/Recurrence/Death,recurrenceDate1stFlag,Recurrence Date--1st Flag,2,NAACCR,59545-4,Nom,LL932-5,,@,
1880,4,Follow-up/Recurrence/Death,recurrenceType1st,Recurrence Type--1st,2,CoC,21983-2,Nom,LL144-7,recurrenceType1st,@,
1910,4,Follow-up/Recurrence/Death,causeOfDeath,Cause of Death,4,SEER,21984-0,Nom,LL147-0,,@,
1914,4,Follow-up/Recurrence/Death,seerCauseSpecificCod,SEER Cause Specific COD,1,SEER,,Ord,,,@,
1915,4,Follow-up/Recurrence/Death,seerOtherCod,SEER Other COD,1,SEER,,Ord,,,@,
1920,4,Follow-up/Recurrence/Death,icdRevisionNumber,ICD Revision Number,1,SEER,21985-7,Nom,LL148-8,icdRevisionNumber,@,
1930,4,Follow-up/Recurrence/Death,autopsy,Autopsy,1,NAACCR,21986-5,Nom,LL149-6,autopsy,@,
1940,4,Follow-up/Recurrence/Death,placeOfDeath,Place of Death,3,NPCR,21987-3,Nom,LL150-4,place,@,
540,6,Hospital-Specific,reportingFacility,Reporting Facility,10,CoC,21865-1,Nom,,,Ti,facility
545,6,Hospital-Specific,npiReportingFacility,NPI--Reporting Facility,10,CMS,44959-5,Nom,,,Ti,facility
550,6,Hospital-Specific,accessionNumberHosp,Accession Number--Hosp,9,CoC,21866-9,Nom,,,Ti,patientIdNumber
560,6,Hospital-Specific,sequenceNumberHospital,Sequence Number--Hospital,2,CoC,21867-7,Ord,LL223-9,,@,
570,6,Hospital-Specific,abstractedBy,Abstracted By,3,CoC,21868-5,Nom,,,@,
580,6,Hospital-Specific,dateOf1stContact,Date of 1st Contact,8,CoC,21869-3,Qn,,,D,
581,6,Hospital-Specific,dateOf1stContactFlag,Date of 1st Contact Flag,2,NAACCR,59512-4,Nom,LL934-1,,@,
590,6,Hospital-Specific,dateOfInptAdm,Date of Inpt Adm,8,NAACCR,21870-1,Qn,LL224-7,,D,
591,6,Hospital-Specific,dateOfInptAdmFlag,Date of Inpt Adm Flag,2,NAACCR,59518-1,Nom,LL935-8,,@,
600,6,Hospital-Specific,dateOfInptDisch,Date of Inpt Disch,8,NAACCR,21871-9,Qn,LL225-4,,D,
601,6,Hospital-Specific,dateOfInptDischFlag,Date of Inpt Disch Flag,2,NAACCR,59519-9,Nom,LL936-6,,@,
605,6,Hospital-Specific,inpatientStatus,Inpatient Status,1,NAACCR,59543-9,Nom,LL937-4,,@,
610,6,Hospital-Specific,classOfCase,Class of Case,2,CoC,21872-7,Nom,LL226-2,classOfCase,@,
630,6,Hospital-Specific,primaryPayerAtDx,Primary Payer at DX,2,CoC,,Nom,,primaryPayerAtDx,@,
668,6,Hospital-Specific,rxHospSurgApp2010,RX Hosp--Surg App 2010,1,CoC,59560-3,Nom,LL938-2,rxHospSurgApp2010,@,
670,6,Hospital-Specific,rxHospSurgPrimSite,RX Hosp--Surg Prim Site,2,CoC,21876-8,Nom,LL227-0,,@,
672,6,Hospital-Specific,rxHospScopeRegLnSur,RX Hosp--Scope Reg LN Sur,1,CoC,21877-6,Nom,,rx_summary_lymph_surgery,@,
674,6,Hospital-Specific,rxHospSurgOthRegDis,RX Hosp--Surg Oth Reg/Dis,1,CoC,21878-4,Nom,,rx_summary_other_regional_distant,@,
