c_hlevel,c_fullname,c_basecode,c_name,c_visualattributes,m_applied_path,c_tooltip,c_synonym_cd,update_date,sourcesystem_cd,c_dimcode,c_operator,c_columndatatype,c_columnname,c_tablename,c_facttablecolumn
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\020\,CS|CysticDuct|25:020,020: Stated as Klatskin tumor,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\020\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\030\,CS|CysticDuct|25:030,030: Cystic bile duct; cystic duct,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\030\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\040\,CS|CysticDuct|25:040,040: Distal bile duct,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\040\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\050\,CS|CysticDuct|25:050,050: Diffuse involvement ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\050\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\060\,CS|CysticDuct|25:060,060: Subsite of extrahepatic bile ducts not stated,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\060\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\070\,CS|CysticDuct|25:070,070: Subsite of extrahepatic bile ducts not stated,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\070\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\100\,CS|CysticDuct|25:100,100: OBSOLETE DATA RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\999\,CS|CysticDuct|25:999,999: Subsite of extrahepatic bile ducts not stated and not classifiable in codes 050-070,LAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\,CS|CysticDuct|25:,25: Schema Discriminator: BileDuctsDistal/BileDuctsPerihilar/CysticDuct,FAE,@,b'',N,,,\i2b2\naaccr\csterms\CysticDuct\CS Site-Specific Factor 25\,like,@,concept_path,concept_dimension,concept_cd
3,\i2b2\naaccr\csterms\MelanomaPalateHard\,,Malignant Melanoma of Hard Palate,FAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\000\,CS|MelanomaPalateHard|1:000,000: No involved regional nodes,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\980\,CS|MelanomaPalateHard|1:980,980: 980 mms or larger,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\980\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\988\,CS|MelanomaPalateHard|1:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\989\,CS|MelanomaPalateHard|1:989,989: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\989\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\990\,CS|MelanomaPalateHard|1:990,990: Microscopic focus or foci only and no size of focus given,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\990\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\991\,CS|MelanomaPalateHard|1:991,"991: Described as ""less than 1centimeter (cm)""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\991\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\992\,CS|MelanomaPalateHard|1:992,"992: Described as ""less than 2cm"" or ""greater than 1cm"" or ""between 1cm and 2cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\992\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\993\,CS|MelanomaPalateHard|1:993,"993: Described as ""less than 3cm"" or ""greater than 2cm"" or ""between 2cm and 3cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\993\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\994\,CS|MelanomaPalateHard|1:994,"994: Described as ""less than 4cm"" or ""greater than 3cm"" or ""between 3cm and 4cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\994\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\995\,CS|MelanomaPalateHard|1:995,"995: Described as ""less than 5cm"" or ""greater than 4cm"" or ""between 4cm and 5cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\995\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\996\,CS|MelanomaPalateHard|1:996,"996: Described as ""less than 6cm"" or ""greater than 5cm"" or ""between 5cm and 6cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\996\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\997\,CS|MelanomaPalateHard|1:997,"997: Described as ""more than 6cm""",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\997\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\999\,CS|MelanomaPalateHard|1:999,"999: Regional lymph node(s) involved, size not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\,CS|MelanomaPalateHard|1:,01: Size of Lymph Nodes,FAE,@,b'001 - 979 millimeters (mm) (Exact size of lymph node to nearest mm)',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 1\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\000\,CS|MelanomaPalateHard|2:000,000: OBSOLETE DATA RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\001\,CS|MelanomaPalateHard|2:001,001: OBSOLETE DATA RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\005\,CS|MelanomaPalateHard|2:005,005: OBSOLETE DATA RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\005\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\888\,CS|MelanomaPalateHard|2:888,888: OBSOLETE DATA CONVERTED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\888\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\987\,CS|MelanomaPalateHard|2:987,987: OBSOLETE DATA CONVERTED AND RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\987\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\988\,CS|MelanomaPalateHard|2:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\999\,CS|MelanomaPalateHard|2:999,999: OBSOLETE DATA RETAINED V0200,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\,CS|MelanomaPalateHard|2:,"02: OBSOLETE - Extracapsular Extension, Lymph Nodes for Head and Neck",FAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 2\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\000\,CS|MelanomaPalateHard|3:000,"000: No involvement in Levels I, II, or III lymph nodes",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\100\,CS|MelanomaPalateHard|3:100,100: Level I lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\010\,CS|MelanomaPalateHard|3:010,010: Level II lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\001\,CS|MelanomaPalateHard|3:001,001: Level III lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\110\,CS|MelanomaPalateHard|3:110,110: Levels I and II lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\110\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\101\,CS|MelanomaPalateHard|3:101,101: Levels I and III lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\101\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\011\,CS|MelanomaPalateHard|3:011,011: Levels II and III lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\011\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\111\,CS|MelanomaPalateHard|3:111,"111: Levels I, II and III lymph nodes involved",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\111\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\988\,CS|MelanomaPalateHard|3:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\999\,CS|MelanomaPalateHard|3:999,"999: Unknown if regional lymph nodes  involved, not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\,CS|MelanomaPalateHard|3:,"03: Levels I-III, Lymph Nodes for Head and Neck",FAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 3\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\000\,CS|MelanomaPalateHard|4:000,000: No involvement in Levels IV or V or retropharyngeal lymph nodes,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\100\,CS|MelanomaPalateHard|4:100,100: Level IV lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\010\,CS|MelanomaPalateHard|4:010,010: Level V lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\001\,CS|MelanomaPalateHard|4:001,001: Retropharyngeal nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\110\,CS|MelanomaPalateHard|4:110,110: Levels IV and V lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\110\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\101\,CS|MelanomaPalateHard|4:101,101: Levels IV and retropharyngeal lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\101\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\011\,CS|MelanomaPalateHard|4:011,011: Levels V and retropharyngeal lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\011\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\111\,CS|MelanomaPalateHard|4:111,111: Levels IV and V and retropharyngeal lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\111\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\988\,CS|MelanomaPalateHard|4:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\999\,CS|MelanomaPalateHard|4:999,"999: Unknown if regional lymph nodes involved, not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\,CS|MelanomaPalateHard|4:,04: Levels IV-V and Retropharyngeal Lymph Nodes for Head and Neck,FAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 4\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\000\,CS|MelanomaPalateHard|5:000,000: No involvement in Levels VI or VII or facial lymph nodes,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\100\,CS|MelanomaPalateHard|5:100,100: Level VI lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\010\,CS|MelanomaPalateHard|5:010,010: Level VII lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\001\,CS|MelanomaPalateHard|5:001,001: Facial lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\110\,CS|MelanomaPalateHard|5:110,110: Levels VI and VII lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\110\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\101\,CS|MelanomaPalateHard|5:101,101: Levels VI and facial lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\101\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\011\,CS|MelanomaPalateHard|5:011,011: Levels VII and facial lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\011\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\111\,CS|MelanomaPalateHard|5:111,111: Levels VI and VII and facial lymph nodes involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\111\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\988\,CS|MelanomaPalateHard|5:988,988: Not applicable:  Information not collected for this case,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\988\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\999\,CS|MelanomaPalateHard|5:999,"999: Unknown if regional lymph node(s) involved, not stated",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\999\,like,@,concept_path,concept_dimension,concept_cd
4,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\,CS|MelanomaPalateHard|5:,05: Levels VI-VII and Facial Lymph Nodes for Head and Neck,FAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 5\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\000\,CS|MelanomaPalateHard|6:000,000: No involvement of any group: ,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\000\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\100\,CS|MelanomaPalateHard|6:100,100: Parapharyngeal lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\100\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\010\,CS|MelanomaPalateHard|6:010,"010: Parotid (preauricular, periparotid, and/or intraparotid) lymph node(s) involved",LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\010\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\001\,CS|MelanomaPalateHard|6:001,001: Suboccipital/retroauricular lymph node(s) involved,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\001\,like,@,concept_path,concept_dimension,concept_cd
5,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\110\,CS|MelanomaPalateHard|6:110,110: Involvement of two groups:,LAE,@,b'',N,,,\i2b2\naaccr\csterms\MelanomaPalateHard\CS Site-Specific Factor 6\110\,like,@,concept_path,concept_dimension,concept_cd
