TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR,means_missing,item
TUMOR,RURALURBAN_CONTINUUM2013,01,"01=fringe county, metropolitan area of 1,000,000+ population",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,02,"02=metropolitan area of 250,000-1,000,000 population",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,03,"03=metropolitan area of less than 250,000 population",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,04,"04=urban population of 20,000+, adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,05,"05=urban population of 20,000+, not adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,06,"06=urban population of 2,500-19,999, adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,07,"07=urban population of 2,500-19,999, not adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,08,"08=completely rural, adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,09,"09=completely rural, not adjacent to metropolitan area",False,3312
TUMOR,RURALURBAN_CONTINUUM2013,98,98=foreign area,True,3312
TUMOR,RURALURBAN_CONTINUUM2013,99,99=unknown,True,3312
TUMOR,LN_HEAD_AND_NECK_OTHER,0,0=none,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,1,1=buccinator,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,2,2=parapharyngeal,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,3,3=periparotid and intraparotid,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,4,4=preauricular,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,5,5=retropharyngeal,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,6,6=suboccipital or retroauricular,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,7,7=multiple,False,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,8,8=not applicable,True,3879
TUMOR,LN_HEAD_AND_NECK_OTHER,9,9=unknown,True,3879
TUMOR,RX_SUMM_SURG_RAD_SEQ,0,0=not applicable,True,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,2,2=radiation before surgery,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,3,3=radiation after surgery,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,4,4=radiation before and after surgery,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,5,5=radiation during surgery,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,6,6=radiation during and before or after surgery,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,7,7=surgery before and after radiation,False,1380
TUMOR,RX_SUMM_SURG_RAD_SEQ,9,9=unknown,True,1380
TUMOR,REASON_FOR_NO_RADIATION,0,0=administered,False,1430
TUMOR,REASON_FOR_NO_RADIATION,1,1=not planned/autopsy,False,1430
TUMOR,REASON_FOR_NO_RADIATION,2,2=patient risk factors,False,1430
TUMOR,REASON_FOR_NO_RADIATION,5,5=patient death,False,1430
TUMOR,REASON_FOR_NO_RADIATION,6,"6=recommended, not administered, NOS",False,1430
TUMOR,REASON_FOR_NO_RADIATION,7,"7=recommended, refused",False,1430
TUMOR,REASON_FOR_NO_RADIATION,8,"8=recommended, unknown if administered",False,1430
TUMOR,REASON_FOR_NO_RADIATION,9,9=unknown,True,1430
TUMOR,DERIVED_SEER_CMB_N_SRC,1,1=clinical,False,3624
TUMOR,DERIVED_SEER_CMB_N_SRC,2,2=pathologic,False,3624
TUMOR,DERIVED_SEER_CMB_N_SRC,3,3=clinical and pathologic,False,3624
TUMOR,DERIVED_SEER_CMB_N_SRC,9,9=unknown,True,3624
TUMOR,BILIRUBIN_PRETREATMENT_UNIT_OF_MEASURE,1,1=mg/dL,False,3814
TUMOR,BILIRUBIN_PRETREATMENT_UNIT_OF_MEASURE,2,2=umol/L,False,3814
TUMOR,BILIRUBIN_PRETREATMENT_UNIT_OF_MEASURE,7,"7=test ordered, results unknown",True,3814
TUMOR,BILIRUBIN_PRETREATMENT_UNIT_OF_MEASURE,8,8=not applicable,True,3814
TUMOR,BILIRUBIN_PRETREATMENT_UNIT_OF_MEASURE,9,9=unknown,True,3814
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,0,0=none,False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,1,1=PL1,False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,2,2=PL3,False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,3,3=PL3,False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,4,"4=visceral pleura, NOS",False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,6,"6=pleura, NOS",False,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,8,8=not applicable,True,3937
TUMOR,VISCERAL_AND_PARIETAL_PLEURAL_INVASION,9,9=unknown,True,3937
TUMOR,MORPH_CODING_SYS_CURRENT,1,1=ICD-O-1,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,2,2=ICD-O 1986,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,3,3=ICD-O 1988,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,4,4=ICD-O-2,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,5,5=ICD-O-2 1995,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,6,6=ICD-O-2 1998 ,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,7,7=ICD-O-3,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,8,8=ICD-O-3 2010,False,470
TUMOR,MORPH_CODING_SYS_CURRENT,9,9=other,True,470
TUMOR,GLEASON_TERTIARY_PATTERN,10,10=Tertiary pattern 1,False,3842
TUMOR,GLEASON_TERTIARY_PATTERN,20,20=Tertiary pattern 2,False,3842
TUMOR,GLEASON_TERTIARY_PATTERN,30,30=Tertiary pattern 3,False,3842
TUMOR,GLEASON_TERTIARY_PATTERN,40,40=Tertiary pattern 4,False,3842
TUMOR,GLEASON_TERTIARY_PATTERN,50,50=Tertiary pattern 5,False,3842
TUMOR,GLEASON_TERTIARY_PATTERN,X7,X7=No prostatectomy/autopsy performed,True,3842
TUMOR,GLEASON_TERTIARY_PATTERN,X8,X8=not applicable,True,3842
TUMOR,GLEASON_TERTIARY_PATTERN,X9,X9=unknown,True,3842
TUMOR,LYMPHOCYTOSIS,0,0=not present,False,3885
TUMOR,LYMPHOCYTOSIS,1,1=present,False,3885
TUMOR,LYMPHOCYTOSIS,6,"6=present, statement only",False,3885
TUMOR,LYMPHOCYTOSIS,7,"7=test ordered, results unknown",True,3885
TUMOR,LYMPHOCYTOSIS,9,9=unknown,True,3885
TUMOR,ICD_O3_CONVERSION_FLAG,,=not converted,False,2116
TUMOR,ICD_O3_CONVERSION_FLAG,0,0=morphology originally coded in ICD-O-3,False,2116
TUMOR,ICD_O3_CONVERSION_FLAG,1,1=morphology converted without review,False,2116
TUMOR,ICD_O3_CONVERSION_FLAG,3,3=morphology converted with review,False,2116
TUMOR,RAD_BOOST_RX_MODALITY,00,00=no boost,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,20,"20=external beam, NOS",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,21,21=orthovoltage,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,22,"22=cobalt-60, cesium-137",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,23,23=photons (2-5 MV),False,3200
TUMOR,RAD_BOOST_RX_MODALITY,24,24=photons (6-10 MV),False,3200
TUMOR,RAD_BOOST_RX_MODALITY,25,25=photons (11-19 MV),False,3200
TUMOR,RAD_BOOST_RX_MODALITY,26,26=photons (> 19 MV),False,3200
TUMOR,RAD_BOOST_RX_MODALITY,27,27=photons (mixed energies),False,3200
TUMOR,RAD_BOOST_RX_MODALITY,28,28=electrons,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,29,29=photons and electrons mixed,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,30,"30=neutrons, with or without photons/electrons",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,31,31=IMRT,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,32,32=conformal or 3-D therapy,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,40,40=protons,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,41,"41=stereotactic radiosurgery, NOS",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,42,42=LINAC radiosurgery,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,43,43=gamma knife,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,50,"50=brachytherapy, NOS",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,51,"51=brachytherapy, intracavitary, LDR",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,52,"52=brachytherapy, intracavitary, HDR",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,53,"53=brachytherapy, interstitial, LDR",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,54,"54=brachytherapy, interstitial, HDR",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,55,55=radium,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,60,"60=radio-isotopes, NOS",False,3200
TUMOR,RAD_BOOST_RX_MODALITY,61,61=strontium - 89,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,62,62=strontium - 90,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,98,98=other,False,3200
TUMOR,RAD_BOOST_RX_MODALITY,99,99=unknown,True,3200
TUMOR,NAACCR_RECORD_VERSION,120,120=2010 version 12,False,50
TUMOR,NAACCR_RECORD_VERSION,121,121=2011 version 12.1,False,50
TUMOR,NAACCR_RECORD_VERSION,122,122=2012 version 12.2,False,50
TUMOR,NAACCR_RECORD_VERSION,130,130=2013 version 13,False,50
TUMOR,NAACCR_RECORD_VERSION,140,140=2014 version 14,False,50
TUMOR,NAACCR_RECORD_VERSION,150,150=2015 version 15,False,50
TUMOR,NAACCR_RECORD_VERSION,160,160=2016 version 16,False,50
TUMOR,CREATININE_PRETREATMENT_UNIT_OF_MEASURE,1,1=mg/dL,False,3825
TUMOR,CREATININE_PRETREATMENT_UNIT_OF_MEASURE,2,2=umol/L,False,3825
TUMOR,CREATININE_PRETREATMENT_UNIT_OF_MEASURE,7,"7=test ordered, results not in chart",True,3825
TUMOR,CREATININE_PRETREATMENT_UNIT_OF_MEASURE,8,8=not applicable,True,3825
TUMOR,CREATININE_PRETREATMENT_UNIT_OF_MEASURE,9,9=unknown,True,3825
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,0,0=none,False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,1,1=I,False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,2,2=II,False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,3,3=III,False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,4,"4=I, II",False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,5,"5=I, III",False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,6,"6=II, III",False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,7,"7=I, II, III",False,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,8,8=not applicable,True,3876
TUMOR,LN_HEAD_AND_NECK_LEVELS1_TO3,9,9=unknown,True,3876
TUMOR,REGISTRY_TYPE,1,1=population-based central registry,False,30
TUMOR,REGISTRY_TYPE,2,2=non-population-based central registry or hospital consortium,False,30
TUMOR,REGISTRY_TYPE,3,3=single hospital/freestanding center,False,30
TUMOR,CENSUS_OCC_CODE19702000,001,001=chief executives,False,270
TUMOR,CENSUS_OCC_CODE19702000,002,002=general and operations managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,003,003=legislators,False,270
TUMOR,CENSUS_OCC_CODE19702000,004,004=advertising and promotions managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,005,005=marketing and sales managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,006,006=public relations managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,010,010=administrative services managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,011,011=computer and information systems managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,012,012=financial managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,013,013=human resources managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,014,014=industrial production managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,015,015=purchasing managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,016,"016=transportation, storage, and distribution managers",False,270
TUMOR,CENSUS_OCC_CODE19702000,020,"020=farm, ranch, and other agricultural managers",False,270
TUMOR,CENSUS_OCC_CODE19702000,021,021=farmers and ranchers,False,270
TUMOR,CENSUS_OCC_CODE19702000,022,022=construction managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,023,023=education administrators,False,270
TUMOR,CENSUS_OCC_CODE19702000,030,030=engineering managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,031,031=food service managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,032,032=funeral directors,False,270
TUMOR,CENSUS_OCC_CODE19702000,033,033=gaming managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,034,034=lodging managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,035,035=medical and health services managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,036,036=natural sciences managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,040,040=postmasters and mail superintendents,False,270
TUMOR,CENSUS_OCC_CODE19702000,041,"041=property, real estate, and community association managers",False,270
TUMOR,CENSUS_OCC_CODE19702000,042,042=social and community service managers,False,270
TUMOR,CENSUS_OCC_CODE19702000,043,"043=managers, all other",False,270
TUMOR,CENSUS_OCC_CODE19702000,050,"050=agents and business managers of artists, performers, and athletes",False,270
TUMOR,CENSUS_OCC_CODE19702000,051,"051=purchasing agents and buyers, farm products",False,270
TUMOR,CENSUS_OCC_CODE19702000,052,"052=wholesale and retail buyers, except farm products",False,270
TUMOR,CENSUS_OCC_CODE19702000,053,"053=purchasing agents, except wholesale, retail, and farm products",False,270
TUMOR,CENSUS_OCC_CODE19702000,054,"054=claims adjusters, appraisers, examiners, and investigators",False,270
TUMOR,CENSUS_OCC_CODE19702000,056,"056=compliance officers, except agriculture, construction, health and safety, and transportation",False,270
TUMOR,CENSUS_OCC_CODE19702000,060,060=cost estimators,False,270
TUMOR,CENSUS_OCC_CODE19702000,062,"062=human resources, training, and labor relations specialists",False,270
TUMOR,CENSUS_OCC_CODE19702000,070,070=logisticians,False,270
TUMOR,CENSUS_OCC_CODE19702000,071,071=management analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,072,072=meeting and convention planners,False,270
TUMOR,CENSUS_OCC_CODE19702000,073,"073=other business operations specialists ,",False,270
TUMOR,CENSUS_OCC_CODE19702000,080,080=accountants and auditors,False,270
TUMOR,CENSUS_OCC_CODE19702000,081,081=appraisers and assessors of real estate,False,270
TUMOR,CENSUS_OCC_CODE19702000,082,082=budget analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,083,083=credit analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,084,084=financial analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,085,085=personal financial advisors,False,270
TUMOR,CENSUS_OCC_CODE19702000,086,086=insurance underwriters,False,270
TUMOR,CENSUS_OCC_CODE19702000,090,090=financial examiners,False,270
TUMOR,CENSUS_OCC_CODE19702000,091,091=loan counselors and officers,False,270
TUMOR,CENSUS_OCC_CODE19702000,093,"093=tax examiners, collectors, and revenue agents",False,270
TUMOR,CENSUS_OCC_CODE19702000,094,094=tax preparers,False,270
TUMOR,CENSUS_OCC_CODE19702000,095,"095=financial specialists, all other",False,270
TUMOR,CENSUS_OCC_CODE19702000,100,"100=computer scientists and systems analysts , ,",False,270
TUMOR,CENSUS_OCC_CODE19702000,101,101=computer programmers,False,270
TUMOR,CENSUS_OCC_CODE19702000,102,102=computer software engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,104,104=computer support specialists,False,270
TUMOR,CENSUS_OCC_CODE19702000,106,106=database administrators,False,270
TUMOR,CENSUS_OCC_CODE19702000,110,110=network and computer systems administrators,False,270
TUMOR,CENSUS_OCC_CODE19702000,111,111=network systems and data communications analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,120,120=actuaries,False,270
TUMOR,CENSUS_OCC_CODE19702000,121,121=mathematicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,122,122=operations research analysts,False,270
TUMOR,CENSUS_OCC_CODE19702000,123,123=statisticians,False,270
TUMOR,CENSUS_OCC_CODE19702000,124,124=miscellaneous mathematical science occupations,False,270
TUMOR,CENSUS_OCC_CODE19702000,130,"130=architects, except naval",False,270
TUMOR,CENSUS_OCC_CODE19702000,131,"131=surveyors, cartographers, and photogrammetrists",False,270
TUMOR,CENSUS_OCC_CODE19702000,132,132=aerospace engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,133,133=agricultural engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,134,134=biomedical engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,135,135=chemical engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,136,136=civil engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,140,140=computer hardware engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,141,141=electrical and electronics engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,142,142=environmental engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,143,"143=industrial engineers, including health and safety",False,270
TUMOR,CENSUS_OCC_CODE19702000,144,144=marine engineers and naval architects,False,270
TUMOR,CENSUS_OCC_CODE19702000,145,145=materials engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,146,146=mechanical engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,150,"150=mining and geological engineers, including mining safety engineers",False,270
TUMOR,CENSUS_OCC_CODE19702000,151,151=nuclear engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,152,152=petroleum engineers,False,270
TUMOR,CENSUS_OCC_CODE19702000,153,"153=engineers, all other",False,270
TUMOR,CENSUS_OCC_CODE19702000,154,154=drafters,False,270
TUMOR,CENSUS_OCC_CODE19702000,155,"155=engineering technicians, except drafters",False,270
TUMOR,CENSUS_OCC_CODE19702000,156,156=surveying and mapping technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,160,160=agricultural and food scientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,161,161=biological scientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,164,164=conservation scientists and foresters,False,270
TUMOR,CENSUS_OCC_CODE19702000,165,165=medical scientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,170,170=astronomers and physicists,False,270
TUMOR,CENSUS_OCC_CODE19702000,171,171=atmospheric and space scientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,172,172=chemists and materials scientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,174,174=environmental scientists and geoscientists,False,270
TUMOR,CENSUS_OCC_CODE19702000,176,"176=physical scientists, all other",False,270
TUMOR,CENSUS_OCC_CODE19702000,180,180=economists,False,270
TUMOR,CENSUS_OCC_CODE19702000,181,181=market and survey researchers,False,270
TUMOR,CENSUS_OCC_CODE19702000,182,182=psychologists,False,270
TUMOR,CENSUS_OCC_CODE19702000,183,183=sociologists,False,270
TUMOR,CENSUS_OCC_CODE19702000,184,184=urban and regional planners,False,270
TUMOR,CENSUS_OCC_CODE19702000,186,186=miscellaneous social scientists and related workers,False,270
TUMOR,CENSUS_OCC_CODE19702000,190,190=agricultural and food science technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,191,191=biological technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,192,192=chemical technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,193,193=geological and petroleum technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,194,194=nuclear technicians,False,270
TUMOR,CENSUS_OCC_CODE19702000,196,"196=other life, physical, and social science technicians ,",False,270
TUMOR,CENSUS_OCC_CODE19702000,200,200=counselors,False,270
TUMOR,CENSUS_OCC_CODE19702000,201,201=social workers,False,270
TUMOR,CENSUS_OCC_CODE19702000,202,202=miscellaneous community and social service specialists,False,270
TUMOR,CENSUS_OCC_CODE19702000,204,204=clergy,False,270
TUMOR,CENSUS_OCC_CODE19702000,205,"205=directors, religious activities and education",False,270
TUMOR,CENSUS_OCC_CODE19702000,206,"206=religious workers, all other",False,270
TUMOR,CENSUS_OCC_CODE19702000,210,210=lawyers,False,270
TUMOR,CENSUS_OCC_CODE19702000,211,"211=judges, magistrates, and other judicial workers",False,270
TUMOR,CENSUS_OCC_CODE19702000,214,214=paralegals and legal assistants,False,270
TUMOR,CENSUS_OCC_CODE19702000,215,215=miscellaneous legal support workers,False,270
TUMOR,CENSUS_OCC_CODE19702000,220,220=postsecondary teachers,False,270
TUMOR,CENSUS_OCC_CODE19702000,230,230=preschool and kindergarten teachers,False,270
TUMOR,CENSUS_OCC_CODE19702000,231,231=elementary and middle school teachers,False,270
TUMOR,CENSUS_OCC_CODE19702000,232,232=secondary school teachers,False,270
TUMOR,CENSUS_OCC_CODE19702000,233,233=special education teachers,False,270
TUMOR,CENSUS_OCC_CODE19702000,234,234=other teachers and instructors,False,270
TUMOR,CENSUS_OCC_CODE19702000,240,"240=archivists, curators, and museum technicians",False,270
TUMOR,CENSUS_OCC_CODE19702000,243,243=librarians,False,270
