item,name,format,allow_value,length,note
880,TNM Path T,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",4,
890,TNM Path N,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",4,
900,TNM Path M,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",4,
910,TNM Path Stage Group,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals.  Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",4,
920,TNM Path Descriptor,,"0-6, 9, blank",1,Revised
930,TNM Path Staged By,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99 ",2,
940,TNM Clin T,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",4,
950,TNM Clin N,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",4,
960,TNM Clin M,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",4,
970,TNM Clin Stage Group,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",4,
980,TNM Clin Descriptor,,"0-3, 5, 9, blank",1,Revised
990,TNM Clin Staged By,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99 ",2,
995,AJCC ID,,,4,New
1000,TNM Other T,,,,Retired
1001,AJCC TNM Clin T,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1002,AJCC TNM Clin N,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1003,AJCC TNM Clin M,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1004,AJCC TNM Clin Stage Group,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",15,New
1010,TNM Other N,,,,Retired
1011,AJCC TNM Path T,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1012,AJCC TNM Path N,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1013,AJCC TNM Path M,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1014,AJCC TNM Path Stage Group,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",15,New
1020,TNM Other M,,,,Retired
1021,AJCC TNM Post Therapy T,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1022,AJCC TNM Post Therapy N,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1023,AJCC TNM Post Therapy M,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",15,New
1024,AJCC TNM Post Therapy Stage Group,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",15,New
1030,TNM Other Stage Group,,,,Retired
1031,AJCC TNM Clin T Suffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), blank",4,New
1032,AJCC TNM Path T Suffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), Blank",4,New
1033,AJCC TNM Post Therapy T Suffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m),(s), Blank",4,New
1034,AJCC TNM Clin N Suffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (sn), (f), Blank",4,New
1035,AJCC TNM Path N Suffix,Left justifed,"(sn), (f), Blank",4,New
1036,AJCC TNM Post Therapy N Suffix,Left justified,"(sn), (f), Blank",4,New
1040,TNM Other Staged By,,,,Retired
1050,TNM Other Descriptor,,,,Retired
1060,TNM Edition Number,"Right justified, zero filled","00-07, 88, 99",2,
1070,Other Staging System,,,,Retired
1080,Date of 1st Positive BX,,,,Retired
1090,Site of Distant Met 1,,,,Retired
1100,Site of Distant Met 2,,,,Retired
1110,Site of Distant Met 3,,,,Retired
1112,Mets at DX-Bone,,"0, 1, 8, 9",1,
1113,Mets at DX-Brain,,"0, 1, 8, 9",1,
1114,Mets at Dx-Distant LN,,"0, 1, 8, 9",1,
1115,Mets at DX-Liver,,"0, 1, 8, 9",1,
1116,Mets at DX-Lung,,"0, 1, 8, 9",1,
1117,Mets at DX-Other,,"0, 1, 2, 8, 9",1,Revised
1120,Pediatric Stage,Alphanumeric,Refer to ROADS Manual,2,
1130,Pediatric Staging System,"Right justified, zero filled","00-15, 88, 97, 99",2,
1140,Pediatric Staged By,,0-9,1,
1150,Tumor Marker 1,,"0-6, 8, 9",1,
1160,Tumor Marker 2,,"0-6, 8, 9",1,
1170,Tumor Marker 3,,"0-6, 8, 9",1,
1180,Reserved 05,,,98,Revised
1182,Lymphovascular Invasion,,"0-4,8,9",1,Revised
1190,Reserved 06,,,100,
1200,RX Date Surgery,YYYYMMDD,Valid dates,8,
1201,RX Date Surgery Flag,,"10-20, blank",2,
1210,RX Date Radiation,YYYYMMDD,Valid dates,8,
1211,RX Date Radiation Flag,,"10-20, blank",2,
1220,RX Date Chemo,YYYYMMDD,Valid dates,8,
1221,RX Date Chemo Flag,,"10-20, blank",2,
1230,RX Date Hormone,YYYYMMDD,Valid dates,8,
1231,RX Date Hormone Flag,,"10-20, blank",2,
1240,RX Date BRM,YYYYMMDD,Valid dates,8,
1241,RX Date BRM Flag,,"10-20, blank",2,
1250,RX Date Other,YYYYMMDD,Valid dates,8,
1251,RX Date Other Flag,,"10-12, 15, blank",2,
1260,Date Initial RX SEER,YYYYMMDD,Valid dates,8,
1261,Date Initial RX SEER Flag,,"10-20, blank",2,
1270,Date 1st Crs RX CoC,YYYYMMDD,Valid dates,8,
1271,Date 1st Crs RX CoC Flag,,"10-20, blank",2,
1280,RX Date DX/Stg Proc,YYYYMMDD,Valid dates,8,
1281,RX Date DX/Stg Proc Flag,,"10-20, blank",2,
1285,RX Summ--Treatment Status,,"0-2, 9",1,
1290,RX Summ--Surg Prim Site,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",2,
1292,RX Summ--Scope Reg LN Sur,,"0-7, 9",1,
1294,RX Summ--Surg Oth Reg/Dis,,"0-5, 9",1,
1296,RX Summ--Reg LN Examined,"Right justified, zero filled","00-90, 95-99",2,
1300,Reserved 07,,,50,Revised
1310,RX Summ--Surgical Approch,,0-9 (site-specific),1,
1320,RX Summ--Surgical Margins,,"0-3, 7-9",1,
1330,RX Summ--Reconstruct 1st,,0-9 (site-specific),1,
1340,Reason for No Surgery,,"0-2, 5-9",1,
1350,RX Summ--DX/Stg Proc,"Right justified, zero filled","00-07, 09",2,
1360,RX Summ--Radiation,,0-9,1,
1370,RX Summ--Rad to CNS,,"0, 1, 7-9",1,
1380,RX Summ--Surg/Rad Seq,,"0, 2-7, 9",1,
1390,RX Summ--Chemo,"Right justified, zero filled","00-03, 82, 85-88, 99",2,
1400,RX Summ--Hormone,"Right justified, zero filled","00, 01, 82, 85-88, 99",2,
1410,RX Summ--BRM,"Right justified, zero filled","00, 01, 82, 85-88, 99",2,
1420,RX Summ--Other,,"0-3, 6-9",1,
1430,Reason for No Radiation,,"0-2, 5-9",1,
1440,Reason for No Chemo,,,,Retired
1450,Reason for No Hormone,,,,Retired
1460,RX Coding System--Current,"Right justified, zero filled","00-08, 99",2,Revised
1470,Protocol Eligibility Stat,,,,Retired
1480,Protocol Participation,,,,Retired
1490,Referral to Support Serv,,,,Retired
1500,First Course Calc Method,,,,Retired
1501,Phase I Dose per Fraction,,00000-99999,5,New
1502,Phase I Radiation External Beam Planning Tech,,"00-10, 88, 98, 99",2,New
1503,Phase I Number of Fractions,"Right justified, zero filled",000-999,3,New
1504,Phase I Radiation Primary Treatment Volume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",2,New
1505,Phase I Radiation to Draining Lymph Nodes,,"00-08, 88, 99",2,New
1506,Phase I Radiation Treatment Modality,,"00-16, 99",2,New
1507,Phase I Total Dose,,"000000-999999, right justified, zero filled",6,New
1510,Rad--Regional Dose: cGy,"Right justified, zero filled",00000-99999,5,
1511,Phase II Dose per Fraction,,00000-99999,5,New
1512,Phase II Radiation External Beam Planning Tech,,"00-10, 88, 98, 99",2,New
1513,Phase II Number of Fractions,"Right justified, zero filled",000-999,3,New
1514,Phase II Radiation Primary Treatment Volume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-99",2,New
1515,Phase II Radiation to Draining Lymph Nodes,,"00-08, 88, 99",2,New
1516,Phase II Radiation Treatment Modality,,"00-16, 99",2,New
1517,Phase II Total Dose,"Right justified, zero filled",000000-999999,6,New
1520,Rad--No of Treatment Vol,"Right justified, zero filled",000-999,3,
1521,Phase III Dose per Fraction,,00000-99999,5,New
1522,Phase III Radiation External Beam Planning Tech,,"00-10, 88, 98, 99",2,New
1523,Phase III Number of Fractions,"Right-justified, zero-filled",000-999,3,New
1524,Phase III Radiation Primary Treatment Volume,,"00-07, 09-14, 20-26, 29-32, 39-42, 50-68, 70-73, 80-86, 88, 90-96, 98-99",2,New
1525,Phase III Radiation to Draining Lymph Nodes,,"00-08, 88, 99",2,New
1526,Phase III Radiation Treatment Modality,,"00-16, 99",2,New
1527,Phase III Total Dose,"right justified, zero filled",000000-999999,6,New
1530,Rad--Elapsed RX Days,,,,Retired
1531,Radiation Treatment Discontinued Early,,"00-07, 99",2,New
1532,Number of Phases of Rad Treatment to this Volume,"right justified, zero-filled","00, 01, 02, 03, 04, 99 ",2,New
1533,Total Dose,"right justified, zero filled",000000-999999,6,New
1540,Rad--Treatment Volume,"Right justified, zero filled","00-41, 50, 60, 98, 99",2,
1550,Rad--Location of RX,,"0-4, 8, 9",1,
1560,Rad--Intent of Treatment,,,,Retired
1570,Rad--Regional RX Modality,"Right justified, zero filled","00, 20-32, 40-43, 50-55, 60-62, 80, 85, 98, 99",2,
1580,Rad--RX Completion Status,,,,Retired
1590,Rad--Local Control Status,,,,Retired
1600,Chemotherapy Field 1,,,,Retired
1610,Chemotherapy Field 2,,,,Retired
1620,Chemotherapy Field 3,,,,Retired
1630,Chemotherapy Field 4,,,,Retired
1639,RX Summ--Systemic/Sur Seq,,"0, 2-7, 9",1,
1640,RX Summ--Surgery Type,"Right justified, zero filled",00-99 (site-specific),2,
1642,RX Summ--Screen/BX Proc1,,,,Retired
1643,RX Summ--Screen/BX Proc2,,,,Retired
1644,RX Summ--Screen/BX Proc3,,,,Retired
1645,RX Summ--Screen/BX Proc4,,,,Retired
1646,RX Summ--Surg Site 98-02,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",2,
1647,RX Summ--Scope Reg 98-02,,"0-9 (site-specific), blank",1,
1648,RX Summ--Surg Oth 98-02,,"0-9 (site-specific), blank",1,
1650,Reserved 08,,,50,Revised
1660,Subsq RX 2nd Course Date,YYYYMMDD,Valid dates,8,
1661,Subsq RX 2ndCrs Date Flag,,"10-20, blank",2,
1670,Subsq RX 2nd Course Codes,,,11,
1671,Subsq RX 2nd Course Surg,"Right justified, zero filled","00, 10-90, 99",2,
1672,Subsq RX 2nd Course Rad,,"0-5, 9",1,
1673,Subsq RX 2nd Course Chemo,,"0-3, 9",1,
1674,Subsq RX 2nd Course Horm,,"0-3, 9",1,
1675,Subsq RX 2nd Course BRM,,0-9,1,
1676,Subsq RX 2nd Course Oth,,"0-3, 6-9",1,
1677,Subsq RX 2nd--Scope LN SU,,0-9,1,
1678,Subsq RX 2nd--Surg Oth,,0-9,1,
1679,Subsq RX 2nd--Reg LN Rem,"Right justified, zero filled","00-90, 95-99",2,
1680,Subsq RX 3rd Course Date,YYYYMMDD,Valid dates,8,
1681,Subsq RX 3rdCrs Date Flag,,"10-20, blank",2,
1690,Subsq RX 3rd Course Codes,,,11,
1691,Subsq RX 3rd Course Surg,"Right justified, zero filled","00, 10-90, 99",2,
1692,Subsq RX 3rd Course Rad,,"0-5, 9",1,
1693,Subsq RX 3rd Course Chemo,,"0-3, 9",1,
1694,Subsq RX 3rd Course Horm,,"0-3, 9",1,
1695,Subsq RX 3rd Course BRM,,0-9,1,
1696,Subsq RX 3rd Course Oth,,"0-3, 6-9",1,
1697,Subsq RX 3rd--Scope LN Su,,0-9,1,
1698,Subsq RX 3rd--Surg Oth,,0-9,1,
1699,Subsq RX 3rd--Reg LN Rem,"Right justified, zero filled","00-90, 95-99",2,
1700,Subsq RX 4th Course Date,YYYYMMDD,Valid dates,8,
1701,Subsq RX 4thCrs Date Flag,,"10-20, blank",2,
1710,Subsq RX 4th Course Codes,,,11,
1711,Subsq RX 4th Course Surg,"Right justified, zero filled","00, 10-90, 99",2,
1712,Subsq RX 4th Course Rad,,"0-5, 9",1,
1713,Subsq RX 4th Course Chemo,,"0-3, 9",1,
1714,Subsq RX 4th Course Horm,,"0-3, 9",1,
1715,Subsq RX 4th Course BRM,,0-9,1,
1716,Subsq RX 4th Course Oth,,"0-3, 6-9",1,
1717,Subsq RX 4th--Scope LN Su,,0-9,1,
1718,Subsq RX 4th--Surg Oth,,0-9,1,
1719,Subsq RX 4th--Reg LN Rem,"Right justified, zero filled","00-90, 95-99",2,
1720,Subsq RX 5th Course Date,,,,Retired
1730,Subsq RX 5th Course Codes,,,,Retired
1731,Subsq RX 5th Course Surg,,,,Retired
1732,Subsq RX 5th Course Rad,,,,Retired
1733,Subsq RX 5th Course Chemo,,,,Retired
1734,Subsq RX 5th Course Horm,,,,Retired
1735,Subsq RX 5th Course BRM,,,,Retired
1736,Subsq RX 5th Course Oth,,,,Retired
1737,Subsq RX 5th--Scope LN Su,,,,Retired
1738,Subsq RX 5th--Surg Oth,,,,Retired
1739,Subsq RX 5th--Reg LN Rem,,,,Retired
1740,Reserved 09,,,50,Revised
1741,Subsq RX--Reconstruct Del,,Site-specific,1,
1750,Date of Last Contact,YYYYMMDD,Valid dates,8,
1751,Date of Last Contact Flag,,"10-20, blank",2,
1755,Date of Death--Canada,YYYYMMDD,Valid Dates,8,
1756,Date of Death--CanadaFlag,,"10-20, blank",2,
1760,Vital Status,,"0, 1",1,Revised
1762,Vital Status Recode,,"0, 1",1,New
1770,Cancer Status,,"1, 2, 9",1,
1772,Date of Last Cancer (tumor) Status ,YYYYMMDD,Valid dates,8,New
1773,Date of Last Cancer (tumor) Status Flag,,"12, Blank",2,New
1775,Record Number Recode,,01-99,2,New
1780,Quality of Survival,,"0-4, 8, 9",1,
1782,Surv-Date Active Followup,YYYYMMDD,Valid Dates,8,
1783,Surv-Flag Active Followup,,"0-3, 8,9, blank",1,
1784,Surv-Mos Active Followup,"Right justified, zero filled","0000-9999, blank",4,
